Year	Age	Austria	Belgium	Bulgaria	Croatia	CzechRepublic	France	Germany	Greece	Hungary	Italy	Lithuania	Poland	Portugal	Slovakia	Slovenia	Spain	Switzerland
22	3	10304.0924	13773.17458	9292.946535	5765.784263	10548.33848	77013.44438	127842.6814	16703.52564	11040.38804	91996.64795	3958.761987	38593.71474	14765.69281	4553.509615	2533.13141	57606.35866	9243.955045
22	4	4170.372783	5668.023782	2445.790769	1466.121378	3563.729287	37983.68686	41734.39897	6240.055769	3517.783846	37548.21557	1259.726859	13177.72167	5682.272739	1407.781314	859.2280449	25270.80024	3895.649862
23	1	111752.9373	140575.173	90897.86092	53685.5245	134854.0017	777945.1765	1032778.967	134068.5573	127590.6236	744003.5448	37165.70083	514011.8244	129844.8992	73501.94337	26604.71322	592123.3839	107126.861
23	2	16200.93479	19930.42606	16206.56707	8152.544872	22509.05743	118582.9157	161127.896	21184.30333	19720.37465	125383.81	5323.515769	63166.88462	20848.76759	8888.88648	3811.798077	82510.1155	15317.96127
23	3	10304.0924	13773.17458	9292.946535	5765.784263	10548.33848	77013.44438	127842.6814	16703.52564	11040.38804	91996.64795	3958.761987	38593.71474	14765.69281	4553.509615	2533.13141	57606.35866	9243.955045
23	4	4170.372783	5668.023782	2445.790769	1466.121378	3563.729287	37983.68686	41734.39897	6240.055769	3517.783846	37548.21557	1259.726859	13177.72167	5682.272739	1407.781314	859.2280449	25270.80024	3895.649862
24	1	111752.9373	140575.173	90897.86092	53685.5245	134854.0017	777945.1765	1032778.967	134068.5573	127590.6236	744003.5448	37165.70083	514011.8244	129844.8992	73501.94337	26604.71322	592123.3839	107126.861
24	2	16200.93479	19930.42606	16206.56707	8152.544872	22509.05743	118582.9157	161127.896	21184.30333	19720.37465	125383.81	5323.515769	63166.88462	20848.76759	8888.88648	3811.798077	82510.1155	15317.96127
24	3	10304.0924	13773.17458	9292.946535	5765.784263	10548.33848	77013.44438	127842.6814	16703.52564	11040.38804	91996.64795	3958.761987	38593.71474	14765.69281	4553.509615	2533.13141	57606.35866	9243.955045
24	4	4170.372783	5668.023782	2445.790769	1466.121378	3563.729287	37983.68686	41734.39897	6240.055769	3517.783846	37548.21557	1259.726859	13177.72167	5682.272739	1407.781314	859.2280449	25270.80024	3895.649862
25	1	111752.9373	140575.173	90897.86092	53685.5245	134854.0017	777945.1765	1032778.967	134068.5573	127590.6236	744003.5448	37165.70083	514011.8244	129844.8992	73501.94337	26604.71322	592123.3839	107126.861
25	2	16200.93479	19930.42606	16206.56707	8152.544872	22509.05743	118582.9157	161127.896	21184.30333	19720.37465	125383.81	5323.515769	63166.88462	20848.76759	8888.88648	3811.798077	82510.1155	15317.96127
25	3	10304.0924	13773.17458	9292.946535	5765.784263	10548.33848	77013.44438	127842.6814	16703.52564	11040.38804	91996.64795	3958.761987	38593.71474	14765.69281	4553.509615	2533.13141	57606.35866	9243.955045
25	4	4170.372783	5668.023782	2445.790769	1466.121378	3563.729287	37983.68686	41734.39897	6240.055769	3517.783846	37548.21557	1259.726859	13177.72167	5682.272739	1407.781314	859.2280449	25270.80024	3895.649862
26	1	111752.9373	140575.173	90897.86092	53685.5245	134854.0017	777945.1765	1032778.967	134068.5573	127590.6236	744003.5448	37165.70083	514011.8244	129844.8992	73501.94337	26604.71322	592123.3839	107126.861
26	2	16200.93479	19930.42606	16206.56707	8152.544872	22509.05743	118582.9157	161127.896	21184.30333	19720.37465	125383.81	5323.515769	63166.88462	20848.76759	8888.88648	3811.798077	82510.1155	15317.96127
26	3	10304.0924	13773.17458	9292.946535	5765.784263	10548.33848	77013.44438	127842.6814	16703.52564	11040.38804	91996.64795	3958.761987	38593.71474	14765.69281	4553.509615	2533.13141	57606.35866	9243.955045
26	4	4170.372783	5668.023782	2445.790769	1466.121378	3563.729287	37983.68686	41734.39897	6240.055769	3517.783846	37548.21557	1259.726859	13177.72167	5682.272739	1407.781314	859.2280449	25270.80024	3895.649862
27	1	111752.9373	140575.173	90897.86092	53685.5245	134854.0017	777945.1765	1032778.967	134068.5573	127590.6236	744003.5448	37165.70083	514011.8244	129844.8992	73501.94337	26604.71322	592123.3839	107126.861
27	2	16200.93479	19930.42606	16206.56707	8152.544872	22509.05743	118582.9157	161127.896	21184.30333	19720.37465	125383.81	5323.515769	63166.88462	20848.76759	8888.88648	3811.798077	82510.1155	15317.96127
27	3	10304.0924	13773.17458	9292.946535	5765.784263	10548.33848	77013.44438	127842.6814	16703.52564	11040.38804	91996.64795	3958.761987	38593.71474	14765.69281	4553.509615	2533.13141	57606.35866	9243.955045
27	4	4170.372783	5668.023782	2445.790769	1466.121378	3563.729287	37983.68686	41734.39897	6240.055769	3517.783846	37548.21557	1259.726859	13177.72167	5682.272739	1407.781314	859.2280449	25270.80024	3895.649862
28	1	111752.9373	140575.173	90897.86092	53685.5245	134854.0017	777945.1765	1032778.967	134068.5573	127590.6236	744003.5448	37165.70083	514011.8244	129844.8992	73501.94337	26604.71322	592123.3839	107126.861
28	2	16200.93479	19930.42606	16206.56707	8152.544872	22509.05743	118582.9157	161127.896	21184.30333	19720.37465	125383.81	5323.515769	63166.88462	20848.76759	8888.88648	3811.798077	82510.1155	15317.96127
28	3	10304.0924	13773.17458	9292.946535	5765.784263	10548.33848	77013.44438	127842.6814	16703.52564	11040.38804	91996.64795	3958.761987	38593.71474	14765.69281	4553.509615	2533.13141	57606.35866	9243.955045
28	4	4170.372783	5668.023782	2445.790769	1466.121378	3563.729287	37983.68686	41734.39897	6240.055769	3517.783846	37548.21557	1259.726859	13177.72167	5682.272739	1407.781314	859.2280449	25270.80024	3895.649862
29	1	111752.9373	140575.173	90897.86092	53685.5245	134854.0017	777945.1765	1032778.967	134068.5573	127590.6236	744003.5448	37165.70083	514011.8244	129844.8992	73501.94337	26604.71322	592123.3839	107126.861
29	2	16200.93479	19930.42606	16206.56707	8152.544872	22509.05743	118582.9157	161127.896	21184.30333	19720.37465	125383.81	5323.515769	63166.88462	20848.76759	8888.88648	3811.798077	82510.1155	15317.96127
29	3	10304.0924	13773.17458	9292.946535	5765.784263	10548.33848	77013.44438	127842.6814	16703.52564	11040.38804	91996.64795	3958.761987	38593.71474	14765.69281	4553.509615	2533.13141	57606.35866	9243.955045
29	4	4170.372783	5668.023782	2445.790769	1466.121378	3563.729287	37983.68686	41734.39897	6240.055769	3517.783846	37548.21557	1259.726859	13177.72167	5682.272739	1407.781314	859.2280449	25270.80024	3895.649862
30	1	111752.9373	140575.173	90897.86092	53685.5245	134854.0017	777945.1765	1032778.967	134068.5573	127590.6236	744003.5448	37165.70083	514011.8244	129844.8992	73501.94337	26604.71322	592123.3839	107126.861
30	2	16200.93479	19930.42606	16206.56707	8152.544872	22509.05743	118582.9157	161127.896	21184.30333	19720.37465	125383.81	5323.515769	63166.88462	20848.76759	8888.88648	3811.798077	82510.1155	15317.96127
30	3	10304.0924	13773.17458	9292.946535	5765.784263	10548.33848	77013.44438	127842.6814	16703.52564	11040.38804	91996.64795	3958.761987	38593.71474	14765.69281	4553.509615	2533.13141	57606.35866	9243.955045
30	4	4170.372783	5668.023782	2445.790769	1466.121378	3563.729287	37983.68686	41734.39897	6240.055769	3517.783846	37548.21557	1259.726859	13177.72167	5682.272739	1407.781314	859.2280449	25270.80024	3895.649862
31	1	111752.9373	140575.173	90897.86092	53685.5245	134854.0017	777945.1765	1032778.967	134068.5573	127590.6236	744003.5448	37165.70083	514011.8244	129844.8992	73501.94337	26604.71322	592123.3839	107126.861
31	2	16200.93479	19930.42606	16206.56707	8152.544872	22509.05743	118582.9157	161127.896	21184.30333	19720.37465	125383.81	5323.515769	63166.88462	20848.76759	8888.88648	3811.798077	82510.1155	15317.96127
31	3	10304.0924	13773.17458	9292.946535	5765.784263	10548.33848	77013.44438	127842.6814	16703.52564	11040.38804	91996.64795	3958.761987	38593.71474	14765.69281	4553.509615	2533.13141	57606.35866	9243.955045
31	4	4170.372783	5668.023782	2445.790769	1466.121378	3563.729287	37983.68686	41734.39897	6240.055769	3517.783846	37548.21557	1259.726859	13177.72167	5682.272739	1407.781314	859.2280449	25270.80024	3895.649862
32	1	111752.9373	140575.173	90897.86092	53685.5245	134854.0017	777945.1765	1032778.967	134068.5573	127590.6236	744003.5448	37165.70083	514011.8244	129844.8992	73501.94337	26604.71322	592123.3839	107126.861
32	2	16200.93479	19930.42606	16206.56707	8152.544872	22509.05743	118582.9157	161127.896	21184.30333	19720.37465	125383.81	5323.515769	63166.88462	20848.76759	8888.88648	3811.798077	82510.1155	15317.96127
32	3	10304.0924	13773.17458	9292.946535	5765.784263	10548.33848	77013.44438	127842.6814	16703.52564	11040.38804	91996.64795	3958.761987	38593.71474	14765.69281	4553.509615	2533.13141	57606.35866	9243.955045
32	4	4170.372783	5668.023782	2445.790769	1466.121378	3563.729287	37983.68686	41734.39897	6240.055769	3517.783846	37548.21557	1259.726859	13177.72167	5682.272739	1407.781314	859.2280449	25270.80024	3895.649862
33	1	111752.9373	140575.173	90897.86092	53685.5245	134854.0017	777945.1765	1032778.967	134068.5573	127590.6236	744003.5448	37165.70083	514011.8244	129844.8992	73501.94337	26604.71322	592123.3839	107126.861
33	2	16200.93479	19930.42606	16206.56707	8152.544872	22509.05743	118582.9157	161127.896	21184.30333	19720.37465	125383.81	5323.515769	63166.88462	20848.76759	8888.88648	3811.798077	82510.1155	15317.96127
33	3	10304.0924	13773.17458	9292.946535	5765.784263	10548.33848	77013.44438	127842.6814	16703.52564	11040.38804	91996.64795	3958.761987	38593.71474	14765.69281	4553.509615	2533.13141	57606.35866	9243.955045
