Year	Age	Austria	Belgium	Bulgaria	Croatia	CzechRepublic	France	Germany	Greece	Hungary	Italy	Lithuania	Poland	Portugal	Slovakia	Slovenia	Spain	Switzerland
8	2	0.017159504	0.018965977	0.032764496	0.028089388	0.025589699	0.01373927	0.021572925	0.017040919	0.031350659	0.015592125	0.029116097	0.025867985	0.018130568	0.028575008	0.018101693	0.015149658	0.014623356
8	3	0.049494898	0.052348135	0.097708514	0.07717944	0.074514105	0.043985833	0.058470301	0.058251175	0.086706574	0.047990879	0.070476579	0.069519092	0.060545754	0.082134448	0.055267563	0.050567334	0.047165958
8	4	0.203578923	0.203951156	0.24163964	0.233268545	0.227851202	0.173336516	0.229043672	0.17900481	0.251344396	0.176972458	0.212744531	0.191687157	0.190592752	0.207418579	0.179230649	0.187686973	0.22820326
9	1	0.002147595	0.002425748	0.005357662	0.003948923	0.003092233	0.002415589	0.002855532	0.002670276	0.00496118	0.001923378	0.00581181	0.00417111	0.002464479	0.003741398	0.002555938	0.001925274	0.001493556
9	2	0.017221229	0.017159693	0.033011309	0.024777539	0.023990343	0.01373021	0.019897237	0.015813595	0.030476094	0.01465899	0.027049793	0.024997275	0.015780309	0.029137508	0.01705232	0.013986164	0.012403739
9	3	0.050756532	0.052856369	0.090929179	0.078566935	0.067309179	0.041256108	0.054778263	0.052982826	0.08369271	0.047153892	0.074518246	0.066435688	0.051267489	0.071153907	0.04895127	0.047355883	0.045651455
9	4	0.189671293	0.182779755	0.240821908	0.232586473	0.191372561	0.162500138	0.210186326	0.167466452	0.226563096	0.174868496	0.199249542	0.190397101	0.18161747	0.209549592	0.147807094	0.174390995	0.196629581
10	1	0.002192336	0.002496885	0.005126633	0.00415382	0.003233126	0.002488741	0.002648834	0.002416674	0.004945504	0.001932786	0.006080876	0.004071891	0.002218522	0.004163155	0.003157335	0.001862787	0.001484222
10	2	0.019319873	0.017310217	0.033998564	0.025268184	0.021857868	0.013113886	0.019351087	0.017040919	0.03022255	0.015193349	0.026861947	0.02653289	0.015737973	0.026100007	0.018101693	0.01414372	0.013709396
10	3	0.045127701	0.049443939	0.08727049	0.074577886	0.061431476	0.040177743	0.050687297	0.049450638	0.074453905	0.045469048	0.070223974	0.065036497	0.049051483	0.079718729	0.053293722	0.044474257	0.045759634
10	4	0.175763664	0.173605482	0.242457371	0.233950616	0.198107079	0.147657679	0.200601906	0.165222882	0.204390045	0.167411418	0.190517491	0.192142471	0.170097252	0.196763515	0.188541332	0.156979596	0.190982256
11	1	0.002254974	0.002482657	0.005357662	0.003893042	0.003121895	0.002452615	0.002770416	0.002357003	0.004929829	0.001872303	0.005677278	0.004056327	0.002433673	0.003945474	0.003270097	0.00178679	0.001596238
11	2	0.017468128	0.015554108	0.030666581	0.026985439	0.022968532	0.012607212	0.018606337	0.016899305	0.030171841	0.014459602	0.031745938	0.024759809	0.015204736	0.025312507	0.01783935	0.013319579	0.012534305
11	3	0.042022139	0.050678222	0.087162882	0.07717944	0.062095087	0.038681558	0.05028837	0.049271035	0.076084282	0.044240742	0.064666681	0.064570099	0.04889713	0.06939702	0.049740807	0.042929289	0.039052548
11	4	0.172886223	0.178192619	0.227329339	0.238725119	0.188566512	0.143640611	0.183206185	0.151761464	0.196146219	0.163443186	0.212744531	0.187209903	0.162610991	0.185398114	0.158281612	0.148036468	0.17943091
12	1	0.00248763	0.002354612	0.005335659	0.003129335	0.002743708	0.002608153	0.002573559	0.002304791	0.004906317	0.001768809	0.005435119	0.004040763	0.002302747	0.004013499	0.003307685	0.00187292	0.001493556
12	2	0.019011249	0.015403584	0.030543174	0.0249002	0.021680161	0.012674676	0.018525656	0.015058319	0.029056243	0.014028924	0.032121629	0.025678012	0.012902441	0.024187507	0.020987471	0.013549854	0.012403739
12	3	0.043380822	0.050315198	0.088238967	0.069548214	0.061241872	0.037798595	0.047417654	0.045439509	0.075269093	0.044327702	0.061888035	0.063740949	0.045646351	0.067859745	0.063952466	0.043467424	0.034617217
12	4	0.164493688	0.163901923	0.227329339	0.209396033	0.198948894	0.135874119	0.175490727	0.157370388	0.184775424	0.157930275	0.188929845	0.177268883	0.147300216	0.185398114	0.150134764	0.143644046	0.158895184
13	1	0.002210233	0.002560907	0.004961613	0.00359501	0.002973586	0.002392773	0.002603116	0.002625522	0.004757403	0.001827948	0.005677278	0.004027145	0.002348956	0.003741398	0.003119748	0.001874609	0.001605573
13	2	0.017282953	0.015804981	0.02974103	0.025145522	0.021902294	0.012677684	0.018289819	0.014444657	0.028397026	0.013430761	0.028364714	0.025899647	0.014149517	0.023625006	0.021249814	0.012762072	0.012077325
13	3	0.040372309	0.047265792	0.08296615	0.070415399	0.057544608	0.036741012	0.046166116	0.046876331	0.07327641	0.043371145	0.05860418	0.061849449	0.047474914	0.071373518	0.047372197	0.041453757	0.037321687
13	4	0.156580726	0.145906233	0.226102742	0.220309181	0.197265264	0.127781892	0.169332737	0.151120444	0.186196773	0.153402763	0.196868074	0.17575117	0.153283737	0.15698461	0.185049826	0.147561611	0.150680893
14	1	0.002040215	0.002568021	0.004928609	0.003352859	0.002936509	0.002480895	0.002618482	0.002401756	0.004945504	0.001858862	0.006000156	0.00400769	0.002202628	0.003169984	0.002894224	0.001768213	0.001437548
14	2	0.017344678	0.018464231	0.0291857	0.023182945	0.021591308	0.012607212	0.0180726	0.014727886	0.027078593	0.013462663	0.026674102	0.02433237	0.013382086	0.026887507	0.020987471	0.012507557	0.011424497
14	3	0.040566406	0.04486983	0.08511832	0.070762273	0.058587426	0.035967746	0.044069789	0.047594742	0.072461221	0.04216458	0.066434911	0.060372525	0.038806171	0.079279508	0.043424514	0.04074203	0.035158111
