Year	Age	Canada	Denmark	EnglandandWales	Finland	Netherlands	Norway	Scotland	SouthKorea	Sweden	Taiwan	USA
10	4	14127.04148	2270.28249	26390.65538	2636.764874	6725.995821	2218.025641	2233.71766	9891.892885	4946.079553	6242.794872	111865.7458
11	1	465657.7524	70353.45245	715939.3399	66832.27611	213041.9838	65617.21018	67994.92086	716489.1188	118646.9419	333790.179	4077506.653
11	2	62726.82133	12144.0641	108378.5755	12066.67746	33744.82576	9285.799715	10493.15795	74752.16994	20962.78428	30926.36551	528062.13
11	3	32961.50975	6043.863685	64136.27833	6609.645756	18154.92325	4762.104464	6188.485962	41297.61314	11234.3221	17970.49311	265683.5486
11	4	14127.04148	2270.28249	26390.65538	2636.764874	6725.995821	2218.025641	2233.71766	9891.892885	4946.079553	6242.794872	111865.7458
12	1	465657.7524	70353.45245	715939.3399	66832.27611	213041.9838	65617.21018	67994.92086	716489.1188	118646.9419	333790.179	4077506.653
12	2	62726.82133	12144.0641	108378.5755	12066.67746	33744.82576	9285.799715	10493.15795	74752.16994	20962.78428	30926.36551	528062.13
12	3	32961.50975	6043.863685	64136.27833	6609.645756	18154.92325	4762.104464	6188.485962	41297.61314	11234.3221	17970.49311	265683.5486
12	4	14127.04148	2270.28249	26390.65538	2636.764874	6725.995821	2218.025641	2233.71766	9891.892885	4946.079553	6242.794872	111865.7458
13	1	465657.7524	70353.45245	715939.3399	66832.27611	213041.9838	65617.21018	67994.92086	716489.1188	118646.9419	333790.179	4077506.653
13	2	62726.82133	12144.0641	108378.5755	12066.67746	33744.82576	9285.799715	10493.15795	74752.16994	20962.78428	30926.36551	528062.13
13	3	32961.50975	6043.863685	64136.27833	6609.645756	18154.92325	4762.104464	6188.485962	41297.61314	11234.3221	17970.49311	265683.5486
13	4	14127.04148	2270.28249	26390.65538	2636.764874	6725.995821	2218.025641	2233.71766	9891.892885	4946.079553	6242.794872	111865.7458
14	1	465657.7524	70353.45245	715939.3399	66832.27611	213041.9838	65617.21018	67994.92086	716489.1188	118646.9419	333790.179	4077506.653
14	2	62726.82133	12144.0641	108378.5755	12066.67746	33744.82576	9285.799715	10493.15795	74752.16994	20962.78428	30926.36551	528062.13
14	3	32961.50975	6043.863685	64136.27833	6609.645756	18154.92325	4762.104464	6188.485962	41297.61314	11234.3221	17970.49311	265683.5486
14	4	14127.04148	2270.28249	26390.65538	2636.764874	6725.995821	2218.025641	2233.71766	9891.892885	4946.079553	6242.794872	111865.7458
15	1	465657.7524	70353.45245	715939.3399	66832.27611	213041.9838	65617.21018	67994.92086	716489.1188	118646.9419	333790.179	4077506.653
15	2	62726.82133	12144.0641	108378.5755	12066.67746	33744.82576	9285.799715	10493.15795	74752.16994	20962.78428	30926.36551	528062.13
15	3	32961.50975	6043.863685	64136.27833	6609.645756	18154.92325	4762.104464	6188.485962	41297.61314	11234.3221	17970.49311	265683.5486
15	4	14127.04148	2270.28249	26390.65538	2636.764874	6725.995821	2218.025641	2233.71766	9891.892885	4946.079553	6242.794872	111865.7458
16	1	465657.7524	70353.45245	715939.3399	66832.27611	213041.9838	65617.21018	67994.92086	716489.1188	118646.9419	333790.179	4077506.653
16	2	62726.82133	12144.0641	108378.5755	12066.67746	33744.82576	9285.799715	10493.15795	74752.16994	20962.78428	30926.36551	528062.13
16	3	32961.50975	6043.863685	64136.27833	6609.645756	18154.92325	4762.104464	6188.485962	41297.61314	11234.3221	17970.49311	265683.5486
16	4	14127.04148	2270.28249	26390.65538	2636.764874	6725.995821	2218.025641	2233.71766	9891.892885	4946.079553	6242.794872	111865.7458
17	1	465657.7524	70353.45245	715939.3399	66832.27611	213041.9838	65617.21018	67994.92086	716489.1188	118646.9419	333790.179	4077506.653
17	2	62726.82133	12144.0641	108378.5755	12066.67746	33744.82576	9285.799715	10493.15795	74752.16994	20962.78428	30926.36551	528062.13
17	3	32961.50975	6043.863685	64136.27833	6609.645756	18154.92325	4762.104464	6188.485962	41297.61314	11234.3221	17970.49311	265683.5486
17	4	14127.04148	2270.28249	26390.65538	2636.764874	6725.995821	2218.025641	2233.71766	9891.892885	4946.079553	6242.794872	111865.7458
18	1	465657.7524	70353.45245	715939.3399	66832.27611	213041.9838	65617.21018	67994.92086	716489.1188	118646.9419	333790.179	4077506.653
18	2	62726.82133	12144.0641	108378.5755	12066.67746	33744.82576	9285.799715	10493.15795	74752.16994	20962.78428	30926.36551	528062.13
18	3	32961.50975	6043.863685	64136.27833	6609.645756	18154.92325	4762.104464	6188.485962	41297.61314	11234.3221	17970.49311	265683.5486
18	4	14127.04148	2270.28249	26390.65538	2636.764874	6725.995821	2218.025641	2233.71766	9891.892885	4946.079553	6242.794872	111865.7458
19	1	465657.7524	70353.45245	715939.3399	66832.27611	213041.9838	65617.21018	67994.92086	716489.1188	118646.9419	333790.179	4077506.653
19	2	62726.82133	12144.0641	108378.5755	12066.67746	33744.82576	9285.799715	10493.15795	74752.16994	20962.78428	30926.36551	528062.13
19	3	32961.50975	6043.863685	64136.27833	6609.645756	18154.92325	4762.104464	6188.485962	41297.61314	11234.3221	17970.49311	265683.5486
19	4	14127.04148	2270.28249	26390.65538	2636.764874	6725.995821	2218.025641	2233.71766	9891.892885	4946.079553	6242.794872	111865.7458
20	1	465657.7524	70353.45245	715939.3399	66832.27611	213041.9838	65617.21018	67994.92086	716489.1188	118646.9419	333790.179	4077506.653
20	2	62726.82133	12144.0641	108378.5755	12066.67746	33744.82576	9285.799715	10493.15795	74752.16994	20962.78428	30926.36551	528062.13
20	3	32961.50975	6043.863685	64136.27833	6609.645756	18154.92325	4762.104464	6188.485962	41297.61314	11234.3221	17970.49311	265683.5486
20	4	14127.04148	2270.28249	26390.65538	2636.764874	6725.995821	2218.025641	2233.71766	9891.892885	4946.079553	6242.794872	111865.7458
21	1	465657.7524	70353.45245	715939.3399	66832.27611	213041.9838	65617.21018	67994.92086	716489.1188	118646.9419	333790.179	4077506.653
21	2	62726.82133	12144.0641	108378.5755	12066.67746	33744.82576	9285.799715	10493.15795	74752.16994	20962.78428	30926.36551	528062.13
21	3	32961.50975	6043.863685	64136.27833	6609.645756	18154.92325	4762.104464	6188.485962	41297.61314	11234.3221	17970.49311	265683.5486
21	4	14127.04148	2270.28249	26390.65538	2636.764874	6725.995821	2218.025641	2233.71766	9891.892885	4946.079553	6242.794872	111865.7458
22	1	465657.7524	70353.45245	715939.3399	66832.27611	213041.9838	65617.21018	67994.92086	716489.1188	118646.9419	333790.179	4077506.653
22	2	62726.82133	12144.0641	108378.5755	12066.67746	33744.82576	9285.799715	10493.15795	74752.16994	20962.78428	30926.36551	528062.13
22	3	32961.50975	6043.863685	64136.27833	6609.645756	18154.92325	4762.104464	6188.485962	41297.61314	11234.3221	17970.49311	265683.5486
22	4	14127.04148	2270.28249	26390.65538	2636.764874	6725.995821	2218.025641	2233.71766	9891.892885	4946.079553	6242.794872	111865.7458
23	1	465657.7524	70353.45245	715939.3399	66832.27611	213041.9838	65617.21018	67994.92086	716489.1188	118646.9419	333790.179	4077506.653
23	2	62726.82133	12144.0641	108378.5755	12066.67746	33744.82576	9285.799715	10493.15795	74752.16994	20962.78428	30926.36551	528062.13
23	3	32961.50975	6043.863685	64136.27833	6609.645756	18154.92325	4762.104464	6188.485962	41297.61314	11234.3221	17970.49311	265683.5486
23	4	14127.04148	2270.28249	26390.65538	2636.764874	6725.995821	2218.025641	2233.71766	9891.892885	4946.079553	6242.794872	111865.7458
24	1	465657.7524	70353.45245	715939.3399	66832.27611	213041.9838	65617.21018	67994.92086	716489.1188	118646.9419	333790.179	4077506.653
24	2	62726.82133	12144.0641	108378.5755	12066.67746	33744.82576	9285.799715	10493.15795	74752.16994	20962.78428	30926.36551	528062.13
