Year	Age	Austria	Belgium	Bulgaria	CzechRepublic	Denmark	Finland	Germany	Greece	Hungary	Norway	Poland	Scotland	Slovenia	Switzerland	Taiwan
9	2	0.017221229	0.017159693	0.033011309	0.023990343	0.019515707	0.015994461	0.019897237	0.015813595	0.030476094	0.015076784	0.024997275	0.020584842	0.01705232	0.012403739	0.017557834
9	3	0.050756532	0.052856369	0.090929179	0.067309179	0.056420862	0.049321857	0.054778263	0.052982826	0.08369271	0.053757746	0.066435688	0.055263921	0.04895127	0.045651455	0.049581277
9	4	0.189671293	0.182779755	0.240821908	0.191372561	0.198213219	0.16611265	0.210186326	0.167466452	0.226563096	0.197923771	0.190397101	0.196085659	0.147807094	0.196629581	0.145928229
10	1	0.002192336	0.002496885	0.005126633	0.003233126	0.002942286	0.002513755	0.002648834	0.002416674	0.004945504	0.002011667	0.004071891	0.002706084	0.003157335	0.001484222	0.002738247
10	2	0.019319873	0.017310217	0.033998564	0.021857868	0.018939294	0.015165732	0.019351087	0.017040919	0.03022255	0.012599884	0.02653289	0.019250639	0.018101693	0.013709396	0.017493165
10	3	0.045127701	0.049443939	0.08727049	0.061431476	0.054435377	0.042664919	0.050687297	0.049450638	0.074453905	0.044938115	0.065036497	0.061081176	0.053293722	0.045759634	0.051028093
10	4	0.175763664	0.173605482	0.242457371	0.198107079	0.18103474	0.155493576	0.200601906	0.165222882	0.204390045	0.166815024	0.192142471	0.194294923	0.188541332	0.190982256	0.137598627
11	1	0.002254974	0.002482657	0.005357662	0.003121895	0.002387943	0.002334202	0.002770416	0.002357003	0.004929829	0.00156971	0.004056327	0.00263255	0.003270097	0.001596238	0.002756222
11	2	0.017468128	0.015554108	0.030666581	0.022968532	0.015727848	0.013839767	0.018606337	0.016899305	0.030171841	0.012384501	0.024759809	0.019917741	0.01783935	0.012534305	0.017234486
11	3	0.042022139	0.050678222	0.087162882	0.062095087	0.051953521	0.045236918	0.05028837	0.049271035	0.076084282	0.043468177	0.064570099	0.055102331	0.049740807	0.039052548	0.052252322
11	4	0.172886223	0.178192619	0.227329339	0.188566512	0.177951423	0.147908524	0.183206185	0.151761464	0.196146219	0.160503104	0.187209903	0.18534124	0.158281612	0.17943091	0.154418016
12	1	0.00248763	0.002354612	0.005335659	0.002743708	0.002387943	0.002214499	0.002573559	0.002304791	0.004906317	0.001493511	0.004040763	0.003088466	0.003307685	0.001493556	0.002756222
12	2	0.019011249	0.015403584	0.030543174	0.021680161	0.017292399	0.015580097	0.018525656	0.015058319	0.029056243	0.01389218	0.025678012	0.023443848	0.020987471	0.012403739	0.017299155
12	3	0.043380822	0.050315198	0.088238967	0.061241872	0.053277178	0.042664919	0.047417654	0.045439509	0.075269093	0.044308142	0.063740949	0.053809607	0.063952466	0.034617217	0.050249038
12	4	0.164493688	0.163901923	0.227329339	0.198948894	0.170903842	0.149425534	0.175490727	0.157370388	0.184775424	0.160052253	0.177268883	0.167881558	0.150134764	0.158895184	0.137918996
13	1	0.002210233	0.002560907	0.004961613	0.002973586	0.002032594	0.002334202	0.002603116	0.002625522	0.004757403	0.00160019	0.004027145	0.002353117	0.003119748	0.001605573	0.002768206
13	2	0.017282953	0.015804981	0.02974103	0.021902294	0.017621778	0.014999987	0.018289819	0.014444657	0.028397026	0.013676797	0.025899647	0.020013041	0.021249814	0.012077325	0.016846467
13	3	0.040372309	0.047265792	0.08296615	0.057544608	0.047817094	0.043572683	0.046166116	0.046876331	0.07327641	0.042628212	0.061849449	0.050093028	0.047372197	0.037321687	0.0474667
13	4	0.156580726	0.145906233	0.226102742	0.197265264	0.172225264	0.168008913	0.169332737	0.151120444	0.186196773	0.157797995	0.17575117	0.159823243	0.185049826	0.150680893	0.152335616
14	1	0.002040215	0.002568021	0.004928609	0.002936509	0.002430584	0.002513755	0.002618482	0.002401756	0.004945504	0.001478271	0.00400769	0.003059052	0.002894224	0.001437548	0.002825128
14	2	0.017344678	0.018464231	0.0291857	0.021591308	0.017704123	0.016657444	0.0180726	0.014727886	0.027078593	0.015938315	0.02433237	0.021156643	0.020987471	0.011424497	0.016749463
14	3	0.040566406	0.04486983	0.08511832	0.058587426	0.048313466	0.040698096	0.044069789	0.047594742	0.072461221	0.03863838	0.060372525	0.053163246	0.043424514	0.035158111	0.050082098
14	4	0.149866698	0.152963367	0.224058414	0.170888401	0.175749054	0.164974892	0.162312149	0.155287074	0.181648455	0.161855658	0.165582493	0.191161134	0.179230649	0.146573748	0.14288472
15	1	0.002129698	0.002368839	0.005115632	0.002684385	0.002274231	0.002513755	0.002625322	0.00217799	0.004608489	0.00158495	0.003752832	0.003073759	0.002255239	0.001437548	0.002759218
15	2	0.017591578	0.016106028	0.033443233	0.022302133	0.017457088	0.014668495	0.017408531	0.015199933	0.027940646	0.014646019	0.023809944	0.018678838	0.019675754	0.013317699	0.018754224
15	3	0.042410334	0.045378064	0.077693334	0.064654732	0.046493438	0.043875271	0.045305683	0.047295404	0.07327641	0.040738292	0.059880217	0.051547342	0.054478026	0.034509038	0.050026451
15	4	0.154902219	0.151375512	0.204841725	0.176781105	0.17178479	0.151321797	0.161785006	0.162658803	0.185343963	0.151486076	0.166037806	0.165195453	0.16875613	0.153247859	0.138719919
16	1	0.001968628	0.002333271	0.004763588	0.002921678	0.001862027	0.00258857	0.002564483	0.002304791	0.004657948	0.00163067	0.003793687	0.002779619	0.002819049	0.00136287	0.002585457
16	2	0.018702625	0.015202886	0.030049547	0.022879679	0.017292399	0.015497224	0.017290612	0.014114224	0.028968312	0.011199897	0.02316087	0.021442544	0.015740603	0.012403739	0.017105146
16	3	0.039013625	0.045741089	0.075971598	0.062758699	0.043680667	0.042967507	0.043936813	0.044062554	0.068319011	0.039688336	0.058429203	0.053971198	0.050925112	0.032886356	0.049024809
16	4	0.147708618	0.14414195	0.203206262	0.173133241	0.142273044	0.160803113	0.156585459	0.141344891	0.191356605	0.154191184	0.158676898	0.160270927	0.143151752	0.144520175	0.130390317
17	1	0.00195968	0.00215543	0.004895605	0.002788201	0.002274231	0.002453904	0.002408937	0.002364462	0.004318499	0.001447791	0.003583575	0.002470773	0.002706287	0.001316197	0.002672337
17	2	0.01672743	0.015202886	0.027704819	0.021324749	0.016551296	0.015248605	0.017104425	0.015813595	0.028447735	0.012599884	0.022970897	0.020775443	0.01705232	0.013187133	0.015553072
17	3	0.036296258	0.044942435	0.083181367	0.055648574	0.046493438	0.041605861	0.043412731	0.046636861	0.066936053	0.038428388	0.053091546	0.060273224	0.041845441	0.036780793	0.048190108
17	4	0.140035443	0.136026246	0.197482142	0.166118117	0.154606311	0.148287776	0.149924287	0.135896221	0.170846199	0.128492653	0.158752784	0.158032506	0.16642846	0.14939741	0.124623669
18	1	0.002040215	0.002375953	0.004851599	0.002795616	0.002459012	0.002573607	0.002560167	0.002394297	0.004404712	0.001371591	0.003665285	0.002603136	0.002368001	0.001549565	0.002534526
18	2	0.015307759	0.015453759	0.027828225	0.019103421	0.017374744	0.013591148	0.016806525	0.014633476	0.025912287	0.012061427	0.02198937	0.018964739	0.017577007	0.010184123	0.014777035
18	3	0.038140186	0.043708151	0.074034645	0.057260203	0.041695183	0.043875271	0.04192653	0.046517126	0.064581063	0.041158274	0.054387094	0.048477124	0.041055904	0.033102714	0.046353764
18	4	0.138356936	0.141495525	0.210156979	0.159102994	0.149320625	0.144115997	0.150858768	0.14583203	0.175394517	0.146075859	0.144941595	0.152212612	0.148970929	0.135792491	0.137438442
19	1	0.002192336	0.002340385	0.004675578	0.00277337	0.002174733	0.002199536	0.002598083	0.00191693	0.004545789	0.001356351	0.003649721	0.003029638	0.002292827	0.001558899	0.002744239
19	2	0.01469051	0.013848174	0.025051573	0.021280322	0.015151435	0.013591148	0.016992712	0.013075719	0.024796689	0.012169119	0.022416809	0.020394242	0.014953573	0.011750911	0.015650077
19	3	0.039595918	0.042110844	0.072743343	0.052899326	0.04467341	0.039639038	0.041253828	0.043044805	0.062769533	0.040318309	0.05399843	0.05090098	0.037897758	0.030939138	0.0474667
19	4	0.135959069	0.137966958	0.188895962	0.158541784	0.137427832	0.133496924	0.142975582	0.121152763	0.146683259	0.137509682	0.140995541	0.162509348	0.131513398	0.130401863	0.134074564
20	1	0.001825455	0.002219453	0.005401667	0.002699215	0.002174733	0.002184573	0.002467091	0.002371921	0.004564268	0.001722109	0.00364194	0.002941396	0.002255239	0.001465552	0.002525539
20	2	0.014381886	0.013647475	0.026162234	0.021280322	0.018445225	0.014005512	0.015925237	0.012934105	0.023997505	0.013569106	0.021862721	0.017725836	0.011280765	0.010641103	0.016232105
20	3	0.036781502	0.042328658	0.064672706	0.053183731	0.040536983	0.041151978	0.041230362	0.042505996	0.060889144	0.040108318	0.052573327	0.048961895	0.037108221	0.030939138	0.043181898
20	4	0.135959069	0.136202675	0.187260499	0.163873278	0.152844415	0.131600661	0.140938893	0.121313018	0.15383519	0.156445441	0.134697032	0.15624177	0.140824081	0.132198739	0.123662561
21	1	0.001727024	0.001991817	0.004246525	0.003025494	0.002302659	0.002199536	0.002472482	0.002095943	0.004467413	0.001478271	0.003606921	0.00297081	0.002819049	0.001493556	0.002738247
21	2	0.01290049	0.01535341	0.02573031	0.021769015	0.019680397	0.01218231	0.015745256	0.013170129	0.024137472	0.012599884	0.021371958	0.019250639	0.012067796	0.011293931	0.015844086
21	3	0.036296258	0.043272522	0.063381404	0.05365774	0.041364268	0.042059743	0.041152141	0.037477118	0.055070528	0.040318309	0.05127778	0.049769847	0.042634977	0.029424635	0.044628714
21	4	0.12492888	0.126322688	0.172950199	0.15601634	0.14183257	0.139564966	0.138686555	0.119389959	0.146398989	0.137509682	0.135683546	0.145945034	0.118711209	0.124241145	0.124303299
22	1	0.001744921	0.002212339	0.00436754	0.002795616	0.002245803	0.001780577	0.002606199	0.002237661	0.004483088	0.00161543	0.003881234	0.002926689	0.002781462	0.001409544	0.002582461
22	2	0.015060859	0.015002188	0.02900059	0.019058994	0.016304262	0.013425402	0.016092806	0.013500562	0.029259079	0.011846045	0.022211005	0.018964739	0.01705232	0.011555063	0.015553072
22	3	0.039207723	0.04087656	0.068869437	0.055838178	0.048313466	0.039790332	0.042067328	0.039871822	0.064037604	0.045358098	0.053765231	0.052840065	0.04421405	0.034509038	0.046687645
22	4	0.141474163	0.134438391	0.185625036	0.166398722	0.135665936	0.134634682	0.144916427	0.132530867	0.160328214	0.14652671	0.140995541	0.16922461	0.131513398	0.131942043	0.118216282
23	1	0.002156543	0.002447089	0.004631572	0.002669554	0.002174733	0.00248383	0.002518439	0.002155614	0.004647677	0.001752589	0.003673067	0.003206122	0.001992128	0.001446883	0.002741243
23	2	0.015369484	0.015303235	0.027704819	0.018659155	0.017951157	0.014254131	0.0164838	0.016002414	0.025810869	0.012599884	0.020422093	0.01953654	0.015215916	0.012860719	0.015908756
23	3	0.043186725	0.043708151	0.069730305	0.05081369	0.047320723	0.038126098	0.039971001	0.042146791	0.056882059	0.042628212	0.051666444	0.050093028	0.041055904	0.031912747	0.047188466
23	4	0.134040775	0.130027683	0.183171842	0.158261179	0.153725363	0.127808135	0.139860646	0.122755313	0.158338324	0.139313087	0.141450855	0.134305246	0.126858057	0.13065856	0.13839955
24	1	0.00179861	0.00231193	0.004598568	0.00261023	0.001790957	0.002693309	0.002448879	0.002170531	0.003973646	0.00161543	0.003369572	0.002706084	0.002330414	0.001456217	0.00298391
24	2	0.015801557	0.01590533	0.024126022	0.019458833	0.016221917	0.016491698	0.015894206	0.015294343	0.021196352	0.013676797	0.021086998	0.019917741	0.014953573	0.00966186	0.01726682
24	3	0.033772989	0.039061438	0.068546612	0.04626321	0.042853382	0.041757155	0.039063636	0.045559244	0.054255339	0.035908494	0.048401664	0.050577799	0.040661136	0.033210893	0.049859511
24	4	0.112939544	0.125264118	0.183580708	0.133006736	0.142713518	0.125153366	0.131019019	0.136857751	0.150094498	0.13705883	0.133406976	0.141915877	0.116383538	0.123727752	0.148811553
25	1	0.00206706	0.00215543	0.004433548	0.002780785	0.002359515	0.002289313	0.002475074	0.002185449	0.004263636	0.00166115	0.003686686	0.00263255	0.002029716	0.001708255	0.002798165
25	2	0.014875685	0.013647475	0.024002616	0.019680966	0.014986746	0.013922639	0.016849969	0.012650876	0.025608033	0.014322945	0.020279613	0.019250639	0.016527633	0.012338457	0.015747082
25	3	0.036102161	0.042328658	0.06510314	0.051477301	0.041529726	0.03857998	0.040745391	0.038435	0.053077845	0.043468177	0.047676157	0.049285076	0.035134379	0.029749171	0.047744934
25	4	0.125888027	0.126675545	0.172541333	0.146475772	0.129058829	0.131600661	0.134205838	0.113781034	0.139292242	0.13390287	0.131130407	0.154003349	0.12103888	0.138102761	0.142243982
26	1	0.00206706	0.002724521	0.004246525	0.003114479	0.002217375	0.002573607	0.002839689	0.002200367	0.004404712	0.00164591	0.003933762	0.002441359	0.002856637	0.001614908	0.002873062
26	2	0.015246034	0.016908821	0.026162234	0.021591308	0.01696302	0.016325952	0.018426356	0.013736586	0.027180011	0.014107563	0.022021032	0.019822441	0.01941341	0.013317699	0.017202151
26	3	0.03862543	0.046757557	0.064565098	0.052140913	0.039709698	0.042211037	0.048184221	0.038375132	0.064762216	0.038008406	0.052573327	0.046214858	0.048556502	0.037429866	0.048357048
26	4	0.145790324	0.161961212	0.164772885	0.163873278	0.14755873	0.138427208	0.170482867	0.10849262	0.159191134	0.134353722	0.142513254	0.167881558	0.126858057	0.145546961	0.14048195
27	1	0.002031267	0.002404407	0.004917607	0.003025494	0.002160519	0.002154648	0.00256687	0.002237661	0.004898479	0.00155447	0.003774232	0.002441359	0.002555938	0.001596238	0.002717276
27	2	0.015369484	0.016256552	0.028136742	0.021991147	0.018198191	0.01276242	0.017613337	0.014586272	0.026165831	0.014538328	0.020532911	0.018297637	0.017314663	0.013187133	0.016005761
27	3	0.039110674	0.039134043	0.071667258	0.056786194	0.040867897	0.040546802	0.042880828	0.043942819	0.066664323	0.036118485	0.049464013	0.052355294	0.046187892	0.0398098	0.045018242
27	4	0.142193523	0.122617693	0.180718648	0.17537808	0.144475413	0.120981587	0.151457794	0.147274325	0.172267549	0.126238396	0.139553714	0.145049666	0.143151752	0.156584914	0.140001396
28	1	0.002040215	0.00205584	0.00436754	0.002847524	0.001989952	0.002423978	0.002542984	0.002319709	0.004929829	0.001752589	0.003643885	0.002691377	0.003006986	0.001773598	0.002729259
28	2	0.013764638	0.014299744	0.024311133	0.017903904	0.015316125	0.012430928	0.016167281	0.013736586	0.023731801	0.013138341	0.020944519	0.017344636	0.013117169	0.012926002	0.015488403
28	3	0.040954602	0.036738081	0.066179225	0.054321351	0.043184296	0.037672216	0.041253828	0.043044805	0.059961661	0.042628212	0.048971705	0.052840065	0.049740807	0.035482648	0.045073888
28	4	0.143392457	0.124381976	0.198708739	0.158822389	0.142273044	0.127808135	0.140938893	0.138780811	0.166297881	0.126238396	0.131282178	0.147735771	0.145479423	0.145290265	0.127987547
29	1	0.002093905	0.002091408	0.004730584	0.002854939	0.002459012	0.002079833	0.002443537	0.002260038	0.004791283	0.001432551	0.003725595	0.002676671	0.002743875	0.001372205	0.002747235
29	2	0.016480531	0.014500443	0.027581412	0.023146238	0.016139572	0.012845292	0.016092806	0.014822295	0.028359357	0.011738354	0.020976181	0.019155339	0.017314663	0.012599588	0.015811751
29	3	0.045127701	0.038044969	0.075003122	0.056880996	0.040867897	0.040698096	0.041566713	0.048432889	0.070763838	0.03695845	0.050163609	0.044275773	0.046977429	0.031047317	0.046409411
29	4	0.158978594	0.110091281	0.211383576	0.167521142	0.144034939	0.127049629	0.138470905	0.161056253	0.18481779	0.128492653	0.137125373	0.131619141	0.154790106	0.137332671	0.132312533
30	1	0.002138646	0.00207718	0.004565564	0.002803031	0.002245803	0.002259387	0.002311836	0.002066107	0.003871758	0.00152399	0.003552447	0.003147294	0.002029716	0.001493556	0.002636387
30	2	0.014320161	0.013898348	0.026347344	0.019592113	0.017127709	0.013176784	0.015726637	0.015624776	0.022413367	0.013246032	0.020627897	0.015629232	0.014428886	0.010314689	0.016361444
30	3	0.040081162	0.039932696	0.080383547	0.052330516	0.044507953	0.03857998	0.039478208	0.049690108	0.051990926	0.038428388	0.045085061	0.048961895	0.045003587	0.031480032	0.046576351
