Year	Age	Australia	Austria	Belgium	CzechRepublic	Hungary	Italy	Norway	Scotland	Slovenia	Spain	Switzerland	Taiwan
10	1	303233.5531	111752.9373	140575.173	134854.0017	127590.6236	744003.5448	65617.21018	67994.92086	26604.71322	592123.3839	107126.861	333790.179
10	2	38607.78663	16200.93479	19930.42606	22509.05743	19720.37465	125383.81	9285.799715	10493.15795	3811.798077	82510.1155	15317.96127	30926.36551
10	3	20746.33936	10304.0924	13773.17458	10548.33848	11040.38804	91996.64795	4762.104464	6188.485962	2533.13141	57606.35866	9243.955045	17970.49311
10	4	8806.509231	4170.372783	5668.023782	3563.729287	3517.783846	37548.21557	2218.025641	2233.71766	859.2280449	25270.80024	3895.649862	6242.794872
11	1	303233.5531	111752.9373	140575.173	134854.0017	127590.6236	744003.5448	65617.21018	67994.92086	26604.71322	592123.3839	107126.861	333790.179
11	2	38607.78663	16200.93479	19930.42606	22509.05743	19720.37465	125383.81	9285.799715	10493.15795	3811.798077	82510.1155	15317.96127	30926.36551
11	3	20746.33936	10304.0924	13773.17458	10548.33848	11040.38804	91996.64795	4762.104464	6188.485962	2533.13141	57606.35866	9243.955045	17970.49311
11	4	8806.509231	4170.372783	5668.023782	3563.729287	3517.783846	37548.21557	2218.025641	2233.71766	859.2280449	25270.80024	3895.649862	6242.794872
12	1	303233.5531	111752.9373	140575.173	134854.0017	127590.6236	744003.5448	65617.21018	67994.92086	26604.71322	592123.3839	107126.861	333790.179
12	2	38607.78663	16200.93479	19930.42606	22509.05743	19720.37465	125383.81	9285.799715	10493.15795	3811.798077	82510.1155	15317.96127	30926.36551
12	3	20746.33936	10304.0924	13773.17458	10548.33848	11040.38804	91996.64795	4762.104464	6188.485962	2533.13141	57606.35866	9243.955045	17970.49311
12	4	8806.509231	4170.372783	5668.023782	3563.729287	3517.783846	37548.21557	2218.025641	2233.71766	859.2280449	25270.80024	3895.649862	6242.794872
13	1	303233.5531	111752.9373	140575.173	134854.0017	127590.6236	744003.5448	65617.21018	67994.92086	26604.71322	592123.3839	107126.861	333790.179
13	2	38607.78663	16200.93479	19930.42606	22509.05743	19720.37465	125383.81	9285.799715	10493.15795	3811.798077	82510.1155	15317.96127	30926.36551
13	3	20746.33936	10304.0924	13773.17458	10548.33848	11040.38804	91996.64795	4762.104464	6188.485962	2533.13141	57606.35866	9243.955045	17970.49311
13	4	8806.509231	4170.372783	5668.023782	3563.729287	3517.783846	37548.21557	2218.025641	2233.71766	859.2280449	25270.80024	3895.649862	6242.794872
14	1	303233.5531	111752.9373	140575.173	134854.0017	127590.6236	744003.5448	65617.21018	67994.92086	26604.71322	592123.3839	107126.861	333790.179
14	2	38607.78663	16200.93479	19930.42606	22509.05743	19720.37465	125383.81	9285.799715	10493.15795	3811.798077	82510.1155	15317.96127	30926.36551
14	3	20746.33936	10304.0924	13773.17458	10548.33848	11040.38804	91996.64795	4762.104464	6188.485962	2533.13141	57606.35866	9243.955045	17970.49311
14	4	8806.509231	4170.372783	5668.023782	3563.729287	3517.783846	37548.21557	2218.025641	2233.71766	859.2280449	25270.80024	3895.649862	6242.794872
15	1	303233.5531	111752.9373	140575.173	134854.0017	127590.6236	744003.5448	65617.21018	67994.92086	26604.71322	592123.3839	107126.861	333790.179
15	2	38607.78663	16200.93479	19930.42606	22509.05743	19720.37465	125383.81	9285.799715	10493.15795	3811.798077	82510.1155	15317.96127	30926.36551
15	3	20746.33936	10304.0924	13773.17458	10548.33848	11040.38804	91996.64795	4762.104464	6188.485962	2533.13141	57606.35866	9243.955045	17970.49311
15	4	8806.509231	4170.372783	5668.023782	3563.729287	3517.783846	37548.21557	2218.025641	2233.71766	859.2280449	25270.80024	3895.649862	6242.794872
16	1	303233.5531	111752.9373	140575.173	134854.0017	127590.6236	744003.5448	65617.21018	67994.92086	26604.71322	592123.3839	107126.861	333790.179
16	2	38607.78663	16200.93479	19930.42606	22509.05743	19720.37465	125383.81	9285.799715	10493.15795	3811.798077	82510.1155	15317.96127	30926.36551
16	3	20746.33936	10304.0924	13773.17458	10548.33848	11040.38804	91996.64795	4762.104464	6188.485962	2533.13141	57606.35866	9243.955045	17970.49311
16	4	8806.509231	4170.372783	5668.023782	3563.729287	3517.783846	37548.21557	2218.025641	2233.71766	859.2280449	25270.80024	3895.649862	6242.794872
17	1	303233.5531	111752.9373	140575.173	134854.0017	127590.6236	744003.5448	65617.21018	67994.92086	26604.71322	592123.3839	107126.861	333790.179
17	2	38607.78663	16200.93479	19930.42606	22509.05743	19720.37465	125383.81	9285.799715	10493.15795	3811.798077	82510.1155	15317.96127	30926.36551
17	3	20746.33936	10304.0924	13773.17458	10548.33848	11040.38804	91996.64795	4762.104464	6188.485962	2533.13141	57606.35866	9243.955045	17970.49311
17	4	8806.509231	4170.372783	5668.023782	3563.729287	3517.783846	37548.21557	2218.025641	2233.71766	859.2280449	25270.80024	3895.649862	6242.794872
18	1	303233.5531	111752.9373	140575.173	134854.0017	127590.6236	744003.5448	65617.21018	67994.92086	26604.71322	592123.3839	107126.861	333790.179
18	2	38607.78663	16200.93479	19930.42606	22509.05743	19720.37465	125383.81	9285.799715	10493.15795	3811.798077	82510.1155	15317.96127	30926.36551
18	3	20746.33936	10304.0924	13773.17458	10548.33848	11040.38804	91996.64795	4762.104464	6188.485962	2533.13141	57606.35866	9243.955045	17970.49311
18	4	8806.509231	4170.372783	5668.023782	3563.729287	3517.783846	37548.21557	2218.025641	2233.71766	859.2280449	25270.80024	3895.649862	6242.794872
19	1	303233.5531	111752.9373	140575.173	134854.0017	127590.6236	744003.5448	65617.21018	67994.92086	26604.71322	592123.3839	107126.861	333790.179
19	2	38607.78663	16200.93479	19930.42606	22509.05743	19720.37465	125383.81	9285.799715	10493.15795	3811.798077	82510.1155	15317.96127	30926.36551
19	3	20746.33936	10304.0924	13773.17458	10548.33848	11040.38804	91996.64795	4762.104464	6188.485962	2533.13141	57606.35866	9243.955045	17970.49311
19	4	8806.509231	4170.372783	5668.023782	3563.729287	3517.783846	37548.21557	2218.025641	2233.71766	859.2280449	25270.80024	3895.649862	6242.794872
20	1	303233.5531	111752.9373	140575.173	134854.0017	127590.6236	744003.5448	65617.21018	67994.92086	26604.71322	592123.3839	107126.861	333790.179
20	2	38607.78663	16200.93479	19930.42606	22509.05743	19720.37465	125383.81	9285.799715	10493.15795	3811.798077	82510.1155	15317.96127	30926.36551
20	3	20746.33936	10304.0924	13773.17458	10548.33848	11040.38804	91996.64795	4762.104464	6188.485962	2533.13141	57606.35866	9243.955045	17970.49311
20	4	8806.509231	4170.372783	5668.023782	3563.729287	3517.783846	37548.21557	2218.025641	2233.71766	859.2280449	25270.80024	3895.649862	6242.794872
21	1	303233.5531	111752.9373	140575.173	134854.0017	127590.6236	744003.5448	65617.21018	67994.92086	26604.71322	592123.3839	107126.861	333790.179
21	2	38607.78663	16200.93479	19930.42606	22509.05743	19720.37465	125383.81	9285.799715	10493.15795	3811.798077	82510.1155	15317.96127	30926.36551
21	3	20746.33936	10304.0924	13773.17458	10548.33848	11040.38804	91996.64795	4762.104464	6188.485962	2533.13141	57606.35866	9243.955045	17970.49311
21	4	8806.509231	4170.372783	5668.023782	3563.729287	3517.783846	37548.21557	2218.025641	2233.71766	859.2280449	25270.80024	3895.649862	6242.794872
22	1	303233.5531	111752.9373	140575.173	134854.0017	127590.6236	744003.5448	65617.21018	67994.92086	26604.71322	592123.3839	107126.861	333790.179
22	2	38607.78663	16200.93479	19930.42606	22509.05743	19720.37465	125383.81	9285.799715	10493.15795	3811.798077	82510.1155	15317.96127	30926.36551
22	3	20746.33936	10304.0924	13773.17458	10548.33848	11040.38804	91996.64795	4762.104464	6188.485962	2533.13141	57606.35866	9243.955045	17970.49311
22	4	8806.509231	4170.372783	5668.023782	3563.729287	3517.783846	37548.21557	2218.025641	2233.71766	859.2280449	25270.80024	3895.649862	6242.794872
23	1	303233.5531	111752.9373	140575.173	134854.0017	127590.6236	744003.5448	65617.21018	67994.92086	26604.71322	592123.3839	107126.861	333790.179
23	2	38607.78663	16200.93479	19930.42606	22509.05743	19720.37465	125383.81	9285.799715	10493.15795	3811.798077	82510.1155	15317.96127	30926.36551
23	3	20746.33936	10304.0924	13773.17458	10548.33848	11040.38804	91996.64795	4762.104464	6188.485962	2533.13141	57606.35866	9243.955045	17970.49311
23	4	8806.509231	4170.372783	5668.023782	3563.729287	3517.783846	37548.21557	2218.025641	2233.71766	859.2280449	25270.80024	3895.649862	6242.794872
24	1	303233.5531	111752.9373	140575.173	134854.0017	127590.6236	744003.5448	65617.21018	67994.92086	26604.71322	592123.3839	107126.861	333790.179
24	2	38607.78663	16200.93479	19930.42606	22509.05743	19720.37465	125383.81	9285.799715	10493.15795	3811.798077	82510.1155	15317.96127	30926.36551
24	3	20746.33936	10304.0924	13773.17458	10548.33848	11040.38804	91996.64795	4762.104464	6188.485962	2533.13141	57606.35866	9243.955045	17970.49311
24	4	8806.509231	4170.372783	5668.023782	3563.729287	3517.783846	37548.21557	2218.025641	2233.71766	859.2280449	25270.80024	3895.649862	6242.794872
25	1	303233.5531	111752.9373	140575.173	134854.0017	127590.6236	744003.5448	65617.21018	67994.92086	26604.71322	592123.3839	107126.861	333790.179
25	2	38607.78663	16200.93479	19930.42606	22509.05743	19720.37465	125383.81	9285.799715	10493.15795	3811.798077	82510.1155	15317.96127	30926.36551
25	3	20746.33936	10304.0924	13773.17458	10548.33848	11040.38804	91996.64795	4762.104464	6188.485962	2533.13141	57606.35866	9243.955045	17970.49311
25	4	8806.509231	4170.372783	5668.023782	3563.729287	3517.783846	37548.21557	2218.025641	2233.71766	859.2280449	25270.80024	3895.649862	6242.794872
26	1	303233.5531	111752.9373	140575.173	134854.0017	127590.6236	744003.5448	65617.21018	67994.92086	26604.71322	592123.3839	107126.861	333790.179
26	2	38607.78663	16200.93479	19930.42606	22509.05743	19720.37465	125383.81	9285.799715	10493.15795	3811.798077	82510.1155	15317.96127	30926.36551
26	3	20746.33936	10304.0924	13773.17458	10548.33848	11040.38804	91996.64795	4762.104464	6188.485962	2533.13141	57606.35866	9243.955045	17970.49311
26	4	8806.509231	4170.372783	5668.023782	3563.729287	3517.783846	37548.21557	2218.025641	2233.71766	859.2280449	25270.80024	3895.649862	6242.794872
27	1	303233.5531	111752.9373	140575.173	134854.0017	127590.6236	744003.5448	65617.21018	67994.92086	26604.71322	592123.3839	107126.861	333790.179
27	2	38607.78663	16200.93479	19930.42606	22509.05743	19720.37465	125383.81	9285.799715	10493.15795	3811.798077	82510.1155	15317.96127	30926.36551
27	3	20746.33936	10304.0924	13773.17458	10548.33848	11040.38804	91996.64795	4762.104464	6188.485962	2533.13141	57606.35866	9243.955045	17970.49311
27	4	8806.509231	4170.372783	5668.023782	3563.729287	3517.783846	37548.21557	2218.025641	2233.71766	859.2280449	25270.80024	3895.649862	6242.794872
28	1	303233.5531	111752.9373	140575.173	134854.0017	127590.6236	744003.5448	65617.21018	67994.92086	26604.71322	592123.3839	107126.861	333790.179
28	2	38607.78663	16200.93479	19930.42606	22509.05743	19720.37465	125383.81	9285.799715	10493.15795	3811.798077	82510.1155	15317.96127	30926.36551
28	3	20746.33936	10304.0924	13773.17458	10548.33848	11040.38804	91996.64795	4762.104464	6188.485962	2533.13141	57606.35866	9243.955045	17970.49311
28	4	8806.509231	4170.372783	5668.023782	3563.729287	3517.783846	37548.21557	2218.025641	2233.71766	859.2280449	25270.80024	3895.649862	6242.794872
29	1	303233.5531	111752.9373	140575.173	134854.0017	127590.6236	744003.5448	65617.21018	67994.92086	26604.71322	592123.3839	107126.861	333790.179
29	2	38607.78663	16200.93479	19930.42606	22509.05743	19720.37465	125383.81	9285.799715	10493.15795	3811.798077	82510.1155	15317.96127	30926.36551
29	3	20746.33936	10304.0924	13773.17458	10548.33848	11040.38804	91996.64795	4762.104464	6188.485962	2533.13141	57606.35866	9243.955045	17970.49311
29	4	8806.509231	4170.372783	5668.023782	3563.729287	3517.783846	37548.21557	2218.025641	2233.71766	859.2280449	25270.80024	3895.649862	6242.794872
30	1	303233.5531	111752.9373	140575.173	134854.0017	127590.6236	744003.5448	65617.21018	67994.92086	26604.71322	592123.3839	107126.861	333790.179
30	2	38607.78663	16200.93479	19930.42606	22509.05743	19720.37465	125383.81	9285.799715	10493.15795	3811.798077	82510.1155	15317.96127	30926.36551
30	3	20746.33936	10304.0924	13773.17458	10548.33848	11040.38804	91996.64795	4762.104464	6188.485962	2533.13141	57606.35866	9243.955045	17970.49311
30	4	8806.509231	4170.372783	5668.023782	3563.729287	3517.783846	37548.21557	2218.025641	2233.71766	859.2280449	25270.80024	3895.649862	6242.794872
