Year	Age	Australia	Austria	Belgium	CzechRepublic	Hungary	Italy	Norway	Scotland	Slovenia	Spain	Switzerland	Taiwan
11	2	90.62860712	0.017468128	0.015554108	0.022968532	0.030171841	0.014459602	0.012384501	0.019917741	0.01783935	0.013319579	0.012534305	0.017234486
11	3	26.59787097	0.042022139	0.050678222	0.062095087	0.076084282	0.044240742	0.043468177	0.055102331	0.049740807	0.042929289	0.039052548	0.052252322
11	4	8.064568893	0.172886223	0.178192619	0.188566512	0.196146219	0.163443186	0.160503104	0.18534124	0.158281612	0.148036468	0.17943091	0.154418016
12	1	612.0094972	0.00248763	0.002354612	0.002743708	0.004906317	0.001768809	0.001493511	0.003088466	0.003307685	0.00187292	0.001493556	0.002756222
12	2	83.20643671	0.019011249	0.015403584	0.021680161	0.029056243	0.014028924	0.01389218	0.023443848	0.020987471	0.013549854	0.012403739	0.017299155
12	3	28.22631205	0.043380822	0.050315198	0.061241872	0.075269093	0.044327702	0.044308142	0.053809607	0.063952466	0.043467424	0.034617217	0.050249038
12	4	8.057190513	0.164493688	0.163901923	0.198948894	0.184775424	0.157930275	0.160052253	0.167881558	0.150134764	0.143644046	0.158895184	0.137918996
13	1	589.1926443	0.002210233	0.002560907	0.002973586	0.004757403	0.001827948	0.00160019	0.002353117	0.003119748	0.001874609	0.001605573	0.002768206
13	2	78.15341424	0.017282953	0.015804981	0.021902294	0.028397026	0.013430761	0.013676797	0.020013041	0.021249814	0.012762072	0.012077325	0.016846467
13	3	27.73574781	0.040372309	0.047265792	0.057544608	0.07327641	0.043371145	0.042628212	0.050093028	0.047372197	0.041453757	0.037321687	0.0474667
13	4	8.269022752	0.156580726	0.145906233	0.197265264	0.186196773	0.153402763	0.157797995	0.159823243	0.185049826	0.147561611	0.150680893	0.152335616
14	1	585.8690221	0.002040215	0.002568021	0.002936509	0.004945504	0.001858862	0.001478271	0.003059052	0.002894224	0.001768213	0.001437548	0.002825128
14	2	84.29647737	0.017344678	0.018464231	0.021591308	0.027078593	0.013462663	0.015938315	0.021156643	0.020987471	0.012507557	0.011424497	0.016749463
14	3	26.70056546	0.040566406	0.04486983	0.058587426	0.072461221	0.04216458	0.03863838	0.053163246	0.043424514	0.04074203	0.035158111	0.050082098
14	4	7.437930094	0.149866698	0.152963367	0.170888401	0.181648455	0.155213767	0.161855658	0.191161134	0.179230649	0.1370752	0.146573748	0.14288472
15	1	574.2746585	0.002129698	0.002368839	0.002684385	0.004608489	0.001887088	0.00158495	0.003073759	0.002255239	0.001822255	0.001437548	0.002759218
15	2	81.969823	0.017591578	0.016106028	0.022302133	0.027940646	0.0136461	0.014646019	0.018678838	0.019675754	0.012713593	0.013317699	0.018754224
15	3	28.6156405	0.042410334	0.045378064	0.064654732	0.07327641	0.041903701	0.040738292	0.051547342	0.054478026	0.039040829	0.034509038	0.050026451
15	4	7.821056155	0.154902219	0.151375512	0.176781105	0.185343963	0.153535925	0.151486076	0.165195453	0.16875613	0.138301912	0.153247859	0.138719919
16	1	565.2296533	0.001968628	0.002333271	0.002921678	0.004657948	0.001772841	0.00163067	0.002779619	0.002819049	0.00184421	0.00136287	0.002585457
16	2	89.78555031	0.018702625	0.015202886	0.022879679	0.028968312	0.013510516	0.011199897	0.021442544	0.015740603	0.01328322	0.012403739	0.017105146
16	3	27.11939785	0.039013625	0.045741089	0.062758699	0.068319011	0.03934926	0.039688336	0.053971198	0.050925112	0.0387978	0.032886356	0.049024809
16	4	7.113496955	0.147708618	0.14414195	0.173133241	0.191356605	0.14304275	0.154191184	0.160270927	0.143151752	0.13359292	0.144520175	0.130390317
17	1	571.5162735	0.00195968	0.00215543	0.002788201	0.004318499	0.001817196	0.001447791	0.002470773	0.002706287	0.001754702	0.001316197	0.002672337
17	2	84.85227832	0.01672743	0.015202886	0.021324749	0.028447735	0.012816647	0.012599884	0.020775443	0.01705232	0.012095487	0.013187133	0.015553072
17	3	25.61276464	0.036296258	0.044942435	0.055648574	0.066936053	0.03922969	0.038428388	0.060273224	0.041845441	0.03836382	0.036780793	0.048190108
17	4	7.230303145	0.140035443	0.136026246	0.166118117	0.170846199	0.14195082	0.128492653	0.158032506	0.16642846	0.123541794	0.14939741	0.124623669
18	1	586.8070075	0.002040215	0.002375953	0.002795616	0.004404712	0.00178225	0.001371591	0.002603136	0.002368001	0.001808745	0.001549565	0.002534526
18	2	79.7681542	0.015307759	0.015453759	0.019103421	0.025912287	0.013638124	0.012061427	0.018964739	0.017577007	0.011889451	0.010184123	0.014777035
18	3	25.997919	0.038140186	0.043708151	0.057260203	0.064581063	0.040110157	0.041158274	0.048477124	0.041055904	0.038172869	0.033102714	0.046353764
18	4	6.98929304	0.138356936	0.141495525	0.159102994	0.175394517	0.144054782	0.146075859	0.152212612	0.148970929	0.127538502	0.135792491	0.137438442
19	1	556.6284349	0.002192336	0.002340385	0.00277337	0.004545789	0.001813163	0.001356351	0.003029638	0.002292827	0.001737813	0.001558899	0.002744239
19	2	83.92997094	0.01469051	0.013848174	0.021280322	0.024796689	0.012641185	0.012169119	0.020394242	0.014953573	0.012628755	0.011750911	0.015650077
19	3	26.36129525	0.039595918	0.042110844	0.052899326	0.062769533	0.038425313	0.040318309	0.05090098	0.037897758	0.037825685	0.030939138	0.0474667
19	4	7.017138829	0.135959069	0.137966958	0.158541784	0.146683259	0.133534974	0.137509682	0.162509348	0.131513398	0.131020782	0.130401863	0.134074564
20	1	589.1091677	0.001825455	0.002219453	0.002699215	0.004564268	0.00172983	0.001722109	0.002941396	0.002255239	0.001756391	0.001465552	0.002525539
20	2	91.92330151	0.014381886	0.013647475	0.021280322	0.023997505	0.011500687	0.013569106	0.017725836	0.011280765	0.01237424	0.010641103	0.016232105
20	3	26.32784183	0.036781502	0.042328658	0.053183731	0.060889144	0.037436147	0.040108318	0.048961895	0.037108221	0.036801493	0.030939138	0.043181898
20	4	7.09630075	0.135959069	0.136202675	0.163873278	0.15383519	0.129220522	0.156445441	0.15624177	0.140824081	0.121365369	0.132198739	0.123662561
21	1	584.3344797	0.001727024	0.001991817	0.003025494	0.004467413	0.001771497	0.001478271	0.00297081	0.002819049	0.001751324	0.001493556	0.002738247
21	2	83.92997094	0.01290049	0.01535341	0.021769015	0.024137472	0.012362043	0.012599884	0.019250639	0.012067796	0.011659177	0.011293931	0.015844086
21	3	25.48690339	0.036296258	0.043272522	0.05365774	0.055070528	0.03639263	0.040318309	0.049769847	0.042634977	0.034510079	0.029424635	0.044628714
21	4	7.260106538	0.12492888	0.126322688	0.15601634	0.146398989	0.122216194	0.137509682	0.145945034	0.118711209	0.123937508	0.124241145	0.124303299
22	1	540.1737377	0.001744921	0.002212339	0.002795616	0.004483088	0.001908593	0.00161543	0.002926689	0.002781462	0.001834077	0.001409544	0.002582461
22	2	77.99552855	0.015060859	0.015002188	0.019058994	0.029259079	0.012856524	0.011846045	0.018964739	0.01705232	0.011295585	0.011555063	0.015553072
22	3	26.76947014	0.039207723	0.04087656	0.055838178	0.064037604	0.039534049	0.045358098	0.052840065	0.04421405	0.038103433	0.034509038	0.046687645
22	4	7.022734634	0.141474163	0.134438391	0.166398722	0.160328214	0.141977453	0.14652671	0.16922461	0.131513398	0.125203791	0.131942043	0.118216282
23	1	575.0590206	0.002156543	0.002447089	0.002669554	0.004647677	0.001819884	0.001752589	0.003206122	0.001992128	0.001788479	0.001446883	0.002741243
23	2	76.9079415	0.015369484	0.015303235	0.018659155	0.025810869	0.012824622	0.012599884	0.01953654	0.015215916	0.012180325	0.012860719	0.015908756
23	3	25.86825356	0.043186725	0.043708151	0.05081369	0.056882059	0.037436147	0.042628212	0.050093028	0.041055904	0.036055048	0.031912747	0.047188466
23	4	6.869351974	0.134040775	0.130027683	0.158261179	0.158338324	0.132736002	0.139313087	0.134305246	0.126858057	0.120376085	0.13065856	0.13839955
24	1	552.6110611	0.00179861	0.00231193	0.00261023	0.003973646	0.00169354	0.00161543	0.002706084	0.002330414	0.001683771	0.001456217	0.00298391
24	2	82.67191999	0.015801557	0.01590533	0.019458833	0.021196352	0.012290263	0.013676797	0.019917741	0.014953573	0.011889451	0.00966186	0.01726682
24	3	26.32784183	0.033772989	0.039061438	0.04626321	0.054255339	0.036240451	0.035908494	0.050577799	0.040661136	0.035950892	0.033210893	0.049859511
24	4	7.017138829	0.112939544	0.125264118	0.133006736	0.150094498	0.117928374	0.13705883	0.141915877	0.116383538	0.115310951	0.123727752	0.148811553
25	1	605.6783761	0.00206706	0.00215543	0.002780785	0.004263636	0.001672035	0.00166115	0.00263255	0.002029716	0.001651683	0.001708255	0.002798165
