Year	Age	Australia	Canada	EnglandandWales	France	Italy	Netherlands	NewZealand	Portugal	Spain	USA
11	4	8.064568893	0.139448872	0.162860677	0.143640611	0.163443186	0.181683134	7.877569265	0.162610991	0.148036468	0.156464339
12	1	612.0094972	0.002116071	0.002049056	0.002608153	0.001768809	0.001905728	538.5360613	0.002302747	0.00187292	0.003204591
12	2	83.20643671	0.014797432	0.015224411	0.012674676	0.014028924	0.014994891	77.27645331	0.012902441	0.013549854	0.018151273
12	3	28.22631205	0.041466673	0.047087235	0.037798595	0.044327702	0.048692026	25.35920107	0.045646351	0.043467424	0.048049644
12	4	8.057190513	0.136971354	0.162519647	0.135874119	0.157930275	0.189414331	7.213120473	0.147300216	0.143644046	0.154461939
13	1	589.1926443	0.002187971	0.001662152	0.002392773	0.001827948	0.001807156	558.2638078	0.002348956	0.001874609	0.003241405
13	2	78.15341424	0.014744532	0.012963817	0.012677684	0.013430761	0.014935623	75.48712237	0.014149517	0.012762072	0.018359582
13	3	27.73574781	0.041415651	0.041193535	0.036741012	0.043371145	0.044450752	24.46022287	0.047474914	0.041453757	0.047055981
13	4	8.269022752	0.134847767	0.142474673	0.127781892	0.153402763	0.167856185	6.978130688	0.153283737	0.147561611	0.152727717
14	1	585.8690221	0.002136755	0.00196106	0.002480895	0.001858862	0.001957361	639.3888379	0.002202628	0.001768213	0.003255247
14	2	84.29647737	0.014040661	0.014772292	0.012607212	0.013462663	0.015113428	80.21391828	0.013382086	0.012507557	0.018554635
14	3	26.70056546	0.039417914	0.045418912	0.035967746	0.04216458	0.044285508	25.24583511	0.038806171	0.04074203	0.046246748
14	4	7.437930094	0.130246662	0.155206452	0.130661355	0.155213767	0.169937661	6.85856935	0.138148948	0.1370752	0.150457138
15	1	574.2746585	0.002100042	0.002322822	0.002386072	0.001887088	0.001957361	568.7901796	0.002372061	0.001822255	0.003239162
15	2	81.969823	0.01457886	0.017060567	0.012532813	0.0136461	0.014965257	72.08162435	0.014437304	0.012713593	0.018208085
15	3	28.6156405	0.04097247	0.05181155	0.03559471	0.041903701	0.045497301	25.70973247	0.039415692	0.039040829	0.047473771
15	4	7.821056155	0.139802803	0.179419568	0.124509	0.153535925	0.168302216	7.967472497	0.129525638	0.138301912	0.150770013
16	1	565.2296533	0.002158924	0.002195717	0.002326938	0.001772841	0.001962055	495.7982092	0.002179523	0.00184421	0.003171483
16	2	89.78555031	0.01420982	0.015519673	0.012507517	0.013510516	0.013957695	73.26496674	0.012374832	0.01328322	0.018049013
16	3	27.11939785	0.040006152	0.047726499	0.035309183	0.03934926	0.045717626	25.45000004	0.038738446	0.0387978	0.046295678
16	4	7.113496955	0.131662387	0.159374594	0.124034869	0.14304275	0.16384191	7.718547538	0.122486201	0.13359292	0.145585227
17	1	571.5162735	0.002130546	0.002009947	0.002292215	0.001817196	0.001825931	553.1105851	0.0021272	0.001754702	0.003191357
17	2	84.85227832	0.014296614	0.015021419	0.012608781	0.012816647	0.01540977	74.35059206	0.012191866	0.012095487	0.017535815
17	3	25.61276464	0.040144364	0.045652789	0.034620902	0.03922969	0.040980619	24.86655047	0.040386066	0.03836382	0.04642365
17	4	7.230303145	0.127061282	0.153084489	0.120586339	0.14195082	0.150163638	7.242233721	0.120775088	0.123541794	0.145987495
18	1	586.8070075	0.002166147	0.001645391	0.002331784	0.00178225	0.001962055	442.5218791	0.0025723	0.001808745	0.003268528
18	2	79.7681542	0.014311818	0.013831147	0.012151835	0.013638124	0.014046598	70.22666469	0.013142264	0.011889451	0.017829341
18	3	25.997919	0.04011543	0.040928474	0.034708226	0.040110157	0.042357656	23.95181632	0.039889764	0.038172869	0.045407403
18	4	6.98929304	0.127415213	0.132812162	0.11812966	0.144054782	0.158192189	7.169386365	0.130053595	0.127538502	0.145871284
19	1	556.6284349	0.002064538	0.002145433	0.002352351	0.001813163	0.001825931	538.8001165	0.002433673	0.001737813	0.003265422
19	2	83.92997094	0.014017855	0.015713438	0.012269896	0.012641185	0.015202331	73.48000608	0.014437304	0.012628755	0.017655119
19	3	26.36129525	0.039461315	0.046744215	0.033033193	0.038425313	0.044010101	24.71991491	0.041853776	0.037825685	0.044699794
19	4	7.017138829	0.125291626	0.150924634	0.110968691	0.133534974	0.148379515	7.246340268	0.118086553	0.131020782	0.139497573
20	1	589.1091677	0.002087722	0.002067214	0.002390914	0.00172983	0.001732053	590.128192	0.002002389	0.001756391	0.003126066
20	2	91.92330151	0.01328009	0.015501219	0.011822951	0.011500687	0.013453914	78.06312574	0.013382086	0.01237424	0.017104048
20	3	26.32784183	0.037376388	0.045621606	0.032345002	0.037436147	0.04136619	25.38176163	0.037993476	0.036801493	0.043295869
20	4	7.09630075	0.12352197	0.145468157	0.110363168	0.129220522	0.145108624	7.175169278	0.120726342	0.121365369	0.138576826
