Year	Age	Australia	Austria	Belgium	Bulgaria	Canada	Croatia	CzechRepublic	Denmark	EnglandandWales	Finland	France	Germany	Greece	Hungary	Italy	Lithuania	Netherlands	NewZealand	Norway	Poland	Portugal	Scotland	Slovakia	Slovenia	SouthKorea	Spain	Sweden	Switzerland	Taiwan	USA
5	1	581.5077499	0.002371302	0.002617816	0.005214644	0.002133143	0.004358717	0.003396266	0.002444798	0.002187336	0.002184573	0.002704561	0.002782151	0.002543475	0.005470621	0.002192194	0.004681736	0.002013688	538.8661708	0.001874508	0.003846215	0.002664718	0.002911982	0.004367231	0.002931811	0.001902332	0.002063759	0.001812099	0.001493556	0.002804157	0.003393957
5	2	83.02749814	0.019381598	0.020270515	0.029494217	0.016427231	0.03164656	0.026078391	0.019927431	0.016368549	0.014999987	0.014698576	0.019369706	0.016568872	0.037524642	0.016046729	0.031933783	0.015202331	71.77274562	0.01389218	0.022860079	0.017411101	0.023634448	0.027675008	0.016527633	0.013685221	0.015985919	0.013261597	0.015341467	0.016717128	0.019082982
5	3	28.4977189	0.050756532	0.054889306	0.083611801	0.046101408	0.076312255	0.071006443	0.049471665	0.053401914	0.044026565	0.044914236	0.051868436	0.05489859	0.091029409	0.052512783	0.066434911	0.049738574	25.56762498	0.051447842	0.063119086	0.060478029	0.067544792	0.07730301	0.056451868	0.043029121	0.053587834	0.044239429	0.045543276	0.049303043	0.051629091
5	4	7.75220883	0.196864895	0.209596862	0.225693877	0.152898256	0.238043047	0.224483942	0.177510949	0.196205813	0.166491902	0.173179608	0.196600411	0.168107472	0.255274354	0.18951633	0.208775417	0.209485709	7.734887739	0.179438863	0.17226043	0.221390288	0.212649973	0.21310128	0.155953941	0.14395627	0.200231095	0.176099068	0.213828252	0.147049522	0.171464463
6	1	577.9830191	0.002299716	0.002745862	0.004818595	0.002193165	0.003799907	0.003507497	0.002402156	0.002225049	0.002558644	0.00270199	0.002834322	0.002431592	0.00515927	0.002033592	0.005596558	0.001910422	455.6613589	0.001676389	0.004040763	0.002834151	0.003014931	0.004394442	0.002819049	0.001923267	0.002070514	0.001660388	0.001885615	0.002840108	0.003292326
6	2	86.56454402	0.02055437	0.018765279	0.033875157	0.015561489	0.031278577	0.026256097	0.018280536	0.016589995	0.016325952	0.015002161	0.020412356	0.015908005	0.034495581	0.015911145	0.028364714	0.016535868	73.19108513	0.014861402	0.025187248	0.017698888	0.024015649	0.026550007	0.021249814	0.013230385	0.015731404	0.015551369	0.013513548	0.018624885	0.019592392
6	3	29.51115129	0.053182753	0.061278538	0.085763971	0.043653256	0.08567785	0.074988113	0.051622607	0.052980935	0.03933645	0.046874932	0.054770441	0.051665739	0.093772115	0.051382307	0.073255225	0.048636945	26.14583537	0.047038027	0.068508565	0.064541503	0.067544792	0.084769778	0.051714648	0.044651491	0.056955518	0.047354882	0.048031389	0.052697497	0.051075801
6	4	8.419224886	0.202140203	0.224946127	0.219152025	0.153960049	0.238043047	0.244126287	0.174427633	0.187528499	0.17331845	0.186580098	0.218093473	0.163299823	0.25361853	0.192525794	0.210363063	0.213499984	7.963439979	0.176282903	0.190169444	0.225085993	0.214888394	0.229439045	0.19901585	0.150931679	0.199914524	0.18944297	0.242064876	0.160344849	0.166056194
7	1	571.314419	0.002478682	0.002475544	0.005797716	0.002201082	0.00396755	0.003411096	0.002515868	0.002134259	0.002573607	0.002678852	0.002926468	0.002565851	0.005259007	0.001958324	0.004977708	0.002070015	558.0511766	0.001706869	0.004276166	0.00235022	0.002676671	0.00412234	0.002781462	0.001966931	0.002136379	0.001904811	0.001782933	0.002837112	0.003337797
7	2	92.36312592	0.018023651	0.018965977	0.034368784	0.015034694	0.028948016	0.026433803	0.018856949	0.015814934	0.016243079	0.014926265	0.021275025	0.016710486	0.035293447	0.015655929	0.032873012	0.015676477	77.57931639	0.016153698	0.026200437	0.017275474	0.021347244	0.027787508	0.024397935	0.013808891	0.015416292	0.014978926	0.014427507	0.018107527	0.018899291
