Year	Age	Bulgaria	Canada	Denmark	EnglandandWales	Finland	France	Germany	Greece	Netherlands	NewZealand	Poland	Portugal	USA
7	4	2445.790769	14127.04148	2270.28249	26390.65538	2636.764874	37983.68686	41734.39897	6240.055769	6725.995821	1513.617853	13177.72167	5682.272739	111865.7458
8	1	90897.86092	465657.7524	70353.45245	715939.3399	66832.27611	777945.1765	1032778.967	134068.5573	213041.9838	58171.60175	514011.8244	129844.8992	4077506.653
8	2	16206.56707	62726.82133	12144.0641	108378.5755	12066.67746	118582.9157	161127.896	21184.30333	33744.82576	7464.409776	63166.88462	20848.76759	528062.13
8	3	9292.946535	32961.50975	6043.863685	64136.27833	6609.645756	77013.44438	127842.6814	16703.52564	18154.92325	3894.263013	38593.71474	14765.69281	265683.5486
8	4	2445.790769	14127.04148	2270.28249	26390.65538	2636.764874	37983.68686	41734.39897	6240.055769	6725.995821	1513.617853	13177.72167	5682.272739	111865.7458
9	1	90897.86092	465657.7524	70353.45245	715939.3399	66832.27611	777945.1765	1032778.967	134068.5573	213041.9838	58171.60175	514011.8244	129844.8992	4077506.653
9	2	16206.56707	62726.82133	12144.0641	108378.5755	12066.67746	118582.9157	161127.896	21184.30333	33744.82576	7464.409776	63166.88462	20848.76759	528062.13
9	3	9292.946535	32961.50975	6043.863685	64136.27833	6609.645756	77013.44438	127842.6814	16703.52564	18154.92325	3894.263013	38593.71474	14765.69281	265683.5486
9	4	2445.790769	14127.04148	2270.28249	26390.65538	2636.764874	37983.68686	41734.39897	6240.055769	6725.995821	1513.617853	13177.72167	5682.272739	111865.7458
10	1	90897.86092	465657.7524	70353.45245	715939.3399	66832.27611	777945.1765	1032778.967	134068.5573	213041.9838	58171.60175	514011.8244	129844.8992	4077506.653
10	2	16206.56707	62726.82133	12144.0641	108378.5755	12066.67746	118582.9157	161127.896	21184.30333	33744.82576	7464.409776	63166.88462	20848.76759	528062.13
10	3	9292.946535	32961.50975	6043.863685	64136.27833	6609.645756	77013.44438	127842.6814	16703.52564	18154.92325	3894.263013	38593.71474	14765.69281	265683.5486
10	4	2445.790769	14127.04148	2270.28249	26390.65538	2636.764874	37983.68686	41734.39897	6240.055769	6725.995821	1513.617853	13177.72167	5682.272739	111865.7458
11	1	90897.86092	465657.7524	70353.45245	715939.3399	66832.27611	777945.1765	1032778.967	134068.5573	213041.9838	58171.60175	514011.8244	129844.8992	4077506.653
11	2	16206.56707	62726.82133	12144.0641	108378.5755	12066.67746	118582.9157	161127.896	21184.30333	33744.82576	7464.409776	63166.88462	20848.76759	528062.13
11	3	9292.946535	32961.50975	6043.863685	64136.27833	6609.645756	77013.44438	127842.6814	16703.52564	18154.92325	3894.263013	38593.71474	14765.69281	265683.5486
11	4	2445.790769	14127.04148	2270.28249	26390.65538	2636.764874	37983.68686	41734.39897	6240.055769	6725.995821	1513.617853	13177.72167	5682.272739	111865.7458
12	1	90897.86092	465657.7524	70353.45245	715939.3399	66832.27611	777945.1765	1032778.967	134068.5573	213041.9838	58171.60175	514011.8244	129844.8992	4077506.653
12	2	16206.56707	62726.82133	12144.0641	108378.5755	12066.67746	118582.9157	161127.896	21184.30333	33744.82576	7464.409776	63166.88462	20848.76759	528062.13
12	3	9292.946535	32961.50975	6043.863685	64136.27833	6609.645756	77013.44438	127842.6814	16703.52564	18154.92325	3894.263013	38593.71474	14765.69281	265683.5486
12	4	2445.790769	14127.04148	2270.28249	26390.65538	2636.764874	37983.68686	41734.39897	6240.055769	6725.995821	1513.617853	13177.72167	5682.272739	111865.7458
13	1	90897.86092	465657.7524	70353.45245	715939.3399	66832.27611	777945.1765	1032778.967	134068.5573	213041.9838	58171.60175	514011.8244	129844.8992	4077506.653
13	2	16206.56707	62726.82133	12144.0641	108378.5755	12066.67746	118582.9157	161127.896	21184.30333	33744.82576	7464.409776	63166.88462	20848.76759	528062.13
13	3	9292.946535	32961.50975	6043.863685	64136.27833	6609.645756	77013.44438	127842.6814	16703.52564	18154.92325	3894.263013	38593.71474	14765.69281	265683.5486
13	4	2445.790769	14127.04148	2270.28249	26390.65538	2636.764874	37983.68686	41734.39897	6240.055769	6725.995821	1513.617853	13177.72167	5682.272739	111865.7458
14	1	90897.86092	465657.7524	70353.45245	715939.3399	66832.27611	777945.1765	1032778.967	134068.5573	213041.9838	58171.60175	514011.8244	129844.8992	4077506.653
14	2	16206.56707	62726.82133	12144.0641	108378.5755	12066.67746	118582.9157	161127.896	21184.30333	33744.82576	7464.409776	63166.88462	20848.76759	528062.13
