Year	Age	Bulgaria	Canada	Denmark	EnglandandWales	Finland	France	Germany	Greece	Netherlands	NewZealand	Poland	Portugal	USA
10	3	0.08727049	0.043006375	0.054435377	0.048677598	0.042664919	0.040177743	0.050687297	0.049450638	0.046874338	27.31563669	0.065036497	0.049051483	0.048813711
10	4	0.242457371	0.142634252	0.18103474	0.172295835	0.155493576	0.147657679	0.200601906	0.165222882	0.187927563	8.126364801	0.192142471	0.170097252	0.162695022
11	1	0.005357662	0.002069858	0.002387943	0.002173368	0.002334202	0.002452615	0.002770416	0.002357003	0.002187362	479.9143457	0.004056327	0.002433673	0.003310202
11	2	0.030666581	0.015128461	0.015727848	0.014956831	0.013839767	0.012607212	0.018606337	0.016899305	0.01576538	75.40869348	0.024759809	0.015204736	0.018819755
11	3	0.087162882	0.042505326	0.051953521	0.047227561	0.045236918	0.038681558	0.05028837	0.049271035	0.045166812	26.51482042	0.064570099	0.04889713	0.048226546
11	4	0.227329339	0.139448872	0.177951423	0.162860677	0.147908524	0.143640611	0.183206185	0.151761464	0.181683134	7.877569265	0.187209903	0.162610991	0.156464339
12	1	0.005335659	0.002116071	0.002387943	0.002049056	0.002214499	0.002608153	0.002573559	0.002304791	0.001905728	538.5360613	0.004040763	0.002302747	0.003204591
12	2	0.030543174	0.014797432	0.017292399	0.015224411	0.015580097	0.012674676	0.018525656	0.015058319	0.014994891	77.27645331	0.025678012	0.012902441	0.018151273
12	3	0.088238967	0.041466673	0.053277178	0.047087235	0.042664919	0.037798595	0.047417654	0.045439509	0.048692026	25.35920107	0.063740949	0.045646351	0.048049644
12	4	0.227329339	0.136971354	0.170903842	0.162519647	0.149425534	0.135874119	0.175490727	0.157370388	0.189414331	7.213120473	0.177268883	0.147300216	0.154461939
13	1	0.004961613	0.002187971	0.002032594	0.001662152	0.002334202	0.002392773	0.002603116	0.002625522	0.001807156	558.2638078	0.004027145	0.002348956	0.003241405
13	2	0.02974103	0.014744532	0.017621778	0.012963817	0.014999987	0.012677684	0.018289819	0.014444657	0.014935623	75.48712237	0.025899647	0.014149517	0.018359582
13	3	0.08296615	0.041415651	0.047817094	0.041193535	0.043572683	0.036741012	0.046166116	0.046876331	0.044450752	24.46022287	0.061849449	0.047474914	0.047055981
13	4	0.226102742	0.134847767	0.172225264	0.142474673	0.168008913	0.127781892	0.169332737	0.151120444	0.167856185	6.978130688	0.17575117	0.153283737	0.152727717
14	1	0.004928609	0.002136755	0.002430584	0.00196106	0.002513755	0.002480895	0.002618482	0.002401756	0.001957361	639.3888379	0.00400769	0.002202628	0.003255247
14	2	0.0291857	0.014040661	0.017704123	0.014772292	0.016657444	0.012607212	0.0180726	0.014727886	0.015113428	80.21391828	0.02433237	0.013382086	0.018554635
14	3	0.08511832	0.039417914	0.048313466	0.045418912	0.040698096	0.035967746	0.044069789	0.047594742	0.044285508	25.24583511	0.060372525	0.038806171	0.046246748
14	4	0.224058414	0.130246662	0.175749054	0.155206452	0.164974892	0.130661355	0.162312149	0.155287074	0.169937661	6.85856935	0.165582493	0.138148948	0.150457138
15	1	0.005115632	0.002100042	0.002274231	0.002322822	0.002513755	0.002386072	0.002625322	0.00217799	0.001957361	568.7901796	0.003752832	0.002372061	0.003239162
15	2	0.033443233	0.01457886	0.017457088	0.017060567	0.014668495	0.012532813	0.017408531	0.015199933	0.014965257	72.08162435	0.023809944	0.014437304	0.018208085
15	3	0.077693334	0.04097247	0.046493438	0.05181155	0.043875271	0.03559471	0.045305683	0.047295404	0.045497301	25.70973247	0.059880217	0.039415692	0.047473771
15	4	0.204841725	0.139802803	0.17178479	0.179419568	0.151321797	0.124509	0.161785006	0.162658803	0.168302216	7.967472497	0.166037806	0.129525638	0.150770013
16	1	0.004763588	0.002158924	0.001862027	0.002195717	0.00258857	0.002326938	0.002564483	0.002304791	0.001962055	495.7982092	0.003793687	0.002179523	0.003171483
