Year	Age	Croatia	Lithuania	Slovakia	SouthKorea	Sweden
21	2	8152.544872	5323.515769	8888.88648	74752.16994	20962.78428
21	3	5765.784263	3958.761987	4553.509615	41297.61314	11234.3221
21	4	1466.121378	1259.726859	1407.781314	9891.892885	4946.079553
22	1	53685.5245	37165.70083	73501.94337	716489.1188	118646.9419
22	2	8152.544872	5323.515769	8888.88648	74752.16994	20962.78428
22	3	5765.784263	3958.761987	4553.509615	41297.61314	11234.3221
22	4	1466.121378	1259.726859	1407.781314	9891.892885	4946.079553
23	1	53685.5245	37165.70083	73501.94337	716489.1188	118646.9419
23	2	8152.544872	5323.515769	8888.88648	74752.16994	20962.78428
23	3	5765.784263	3958.761987	4553.509615	41297.61314	11234.3221
23	4	1466.121378	1259.726859	1407.781314	9891.892885	4946.079553
24	1	53685.5245	37165.70083	73501.94337	716489.1188	118646.9419
24	2	8152.544872	5323.515769	8888.88648	74752.16994	20962.78428
24	3	5765.784263	3958.761987	4553.509615	41297.61314	11234.3221
24	4	1466.121378	1259.726859	1407.781314	9891.892885	4946.079553
25	1	53685.5245	37165.70083	73501.94337	716489.1188	118646.9419
25	2	8152.544872	5323.515769	8888.88648	74752.16994	20962.78428
25	3	5765.784263	3958.761987	4553.509615	41297.61314	11234.3221
25	4	1466.121378	1259.726859	1407.781314	9891.892885	4946.079553
26	1	53685.5245	37165.70083	73501.94337	716489.1188	118646.9419
26	2	8152.544872	5323.515769	8888.88648	74752.16994	20962.78428
26	3	5765.784263	3958.761987	4553.509615	41297.61314	11234.3221
26	4	1466.121378	1259.726859	1407.781314	9891.892885	4946.079553
27	1	53685.5245	37165.70083	73501.94337	716489.1188	118646.9419
27	2	8152.544872	5323.515769	8888.88648	74752.16994	20962.78428
27	3	5765.784263	3958.761987	4553.509615	41297.61314	11234.3221
27	4	1466.121378	1259.726859	1407.781314	9891.892885	4946.079553
28	1	53685.5245	37165.70083	73501.94337	716489.1188	118646.9419
28	2	8152.544872	5323.515769	8888.88648	74752.16994	20962.78428
28	3	5765.784263	3958.761987	4553.509615	41297.61314	11234.3221
28	4	1466.121378	1259.726859	1407.781314	9891.892885	4946.079553
29	1	53685.5245	37165.70083	73501.94337	716489.1188	118646.9419
29	2	8152.544872	5323.515769	8888.88648	74752.16994	20962.78428
29	3	5765.784263	3958.761987	4553.509615	41297.61314	11234.3221
29	4	1466.121378	1259.726859	1407.781314	9891.892885	4946.079553
30	1	53685.5245	37165.70083	73501.94337	716489.1188	118646.9419
30	2	8152.544872	5323.515769	8888.88648	74752.16994	20962.78428
30	3	5765.784263	3958.761987	4553.509615	41297.61314	11234.3221
30	4	1466.121378	1259.726859	1407.781314	9891.892885	4946.079553
