Year	Age	Australia	NewZealand
50	4	0.124907608	0.121589692
51	1	0.001743197	0.002052375
51	2	0.011448468	0.011644703
51	3	0.032825068	0.037277419
51	4	0.119229989	0.13736036
52	1	0.001709062	0.001774351
52	2	0.011267157	0.014330068
52	3	0.034945924	0.040351195
52	4	0.127973522	0.132725927
53	1	0.001578077	0.001944357
53	2	0.012014271	0.013116912
53	3	0.033869126	0.036734538
53	4	0.119991642	0.123164568
54	1	0.001674482	0.001802245
54	2	0.011214984	0.012182798
54	3	0.036636824	0.036174204
54	4	0.122530564	0.131120829
55	1	0.001760889	0.001896383
55	2	0.010540587	0.010597436
55	3	0.033446934	0.032546957
55	4	0.125290261	0.119519348
56	1	0.001614492	0.001768322
56	2	0.010890274	0.012007601
56	3	0.031429798	0.035474013
56	4	0.11590729	0.124203274
57	1	0.00160102	0.001832935
57	2	0.011939338	0.013467938
57	3	0.034807329	0.036017042
57	4	0.120322806	0.120095341
58	1	0.001721678	0.0017219
58	2	0.011414806	0.011498101
58	3	0.033962946	0.034211683
58	4	0.110387895	0.12038037
59	1	0.001791552	0.001673021
59	2	0.010590542	0.010870899
59	3	0.031054517	0.03315606
59	4	0.119439702	0.124271636
60	1	0.001761438	0.00212065
60	2	0.01094023	0.012773207
60	3	0.033634575	0.036143963
60	4	0.11535535	0.121905238
61	1	0.001632374	0.001975823
61	2	0.010590542	0.011423882
61	3	0.032743282	0.033868485
61	4	0.119881254	0.118435726
62	1	0.001751212	0.001912891
62	2	0.011714538	0.010483079
62	3	0.033962946	0.032274693
62	4	0.11745272	0.115032599
63	1	0.001522888	0.001833193
63	2	0.011090096	0.010890968
63	3	0.032649462	0.03341083
63	4	0.125400649	0.122237161
64	1	0.001672214	0.001705133
64	2	0.012264048	0.012118614
64	3	0.034901149	0.033967506
64	4	0.119329315	0.113486262
65	1	0.001629033	0.002104918
65	2	0.011639605	0.013724045
65	3	0.034854239	0.038264233
65	4	0.120874745	0.126456395
66	1	0.001696119	0.00170552
66	2	0.011239962	0.013397064
66	3	0.036402274	0.037175657
66	4	0.129485001	0.121926707
67	1	0.001733406	0.001751943
67	2	0.012114181	0.013950047
67	3	0.033775305	0.037043977
67	4	0.128822674	0.114435138
68	1	0.001674884	0.001976469
68	2	0.011564672	0.01247633
68	3	0.033962946	0.037259437
68	4	0.126173364	0.134545426
69	1	0.001691143	0.001785219
69	2	0.010815341	0.011717414
69	3	0.035088789	0.036035735
69	4	0.1258422	0.131849082
70	1	0.001625033	0.001927978
70	2	0.010840319	0.01281669
70	3	0.035041879	0.038891547
70	4	0.126946079	0.142079933
71	1	0.001622328	0.002007547
71	2	0.011639605	0.013977438
71	3	0.03532334	0.040822067
71	4	0.13423168	0.141615241
72	1	0.001581822	0.001848797
72	2	0.012089204	0.012725747
72	3	0.034994969	0.037313579
72	4	0.136439438	0.134457572
73	1	0.001797631	0.001770003
73	2	0.011814449	0.01377485
73	3	0.038747781	0.040338882
73	4	0.142731548	0.140023989
74	1	0.001725947	0.001833064
74	2	0.012139159	0.013700631
74	3	0.038044129	0.039424375
74	4	0.14471853	0.1369977
75	1	0.001934621	0.002247159
75	2	0.012713646	0.015386971
75	3	0.037903398	0.044787273
75	4	0.146926288	0.151291569
76	1	0.001688768	0.002182418
76	2	0.011714538	0.010779955
76	3	0.038700871	0.037973685
76	4	0.133790129	0.149989302
77	1	0.001650306	0.001913796
77	2	0.012913468	0.013558882
77	3	0.038231769	0.041769194
77	4	0.14736784	0.15337096
78	1	0.001785201	0.001960349
78	2	0.011115074	0.013946702
78	3	0.040577277	0.041336148
78	4	0.150789865	0.146830244
79	1	0.001780305	0.001928754
79	2	0.013712754	0.012911611
79	3	0.03832559	0.041821843
79	4	0.153880726	0.155778319
80	1	0.00174895	0.001927461
80	2	0.013238178	0.015451155
80	3	0.041327839	0.046792811
80	4	0.150127537	0.165610863
81	1	0.001854127	0.0021044
81	2	0.013138267	0.013147016
81	3	0.037575027	0.042693479
81	4	0.152887235	0.166430924
82	1	0.001754597	0.001991556
82	2	0.012513825	0.014017577
82	3	0.039592164	0.043760628
82	4	0.157744302	0.157478894
83	1	0.001702435	0.002007935
83	2	0.011714538	0.014014232
83	3	0.040295816	0.042537128
83	4	0.156971587	0.156819003
84	1	0.001717212	0.001928495
84	2	0.012938445	0.014004197
84	3	0.039920535	0.046665663
84	4	0.158958569	0.179443995
85	1	0.001773319	0.001990651
85	2	0.012788579	0.013349604
85	3	0.039076152	0.046665632
85	4	0.170549298	0.187775118
86	1	0.001935666	0.001817848
86	2	0.01288849	0.013484663
86	3	0.040436546	0.044307837
86	4	0.160172836	0.171468242
87	1	0.001872611	0.001959831
87	2	0.013163245	0.013150992
87	3	0.041140198	0.042824165
87	4	0.163153309	0.157765901
88	1	0.001726133	0.001784831
88	2	0.012838535	0.013538813
88	3	0.040108175	0.041531397
88	4	0.155646932	0.148331665
89	1	0.001869811	0.001959573
89	2	0.012289025	0.015612973
89	3	0.041140198	0.045685135
89	4	0.14527047	0.161922706
90	1	0.001723219	0.002168625
90	2	0.01158965	0.013946702
90	3	0.038888511	0.041815621
90	4	0.146153573	0.153261638
91	1	0.001713235	0.001881684
91	2	0.012214092	0.013966771
91	3	0.040389636	0.042680744
91	4	0.146043185	0.155403458
92	1	0.001680847	0.002024573
92	2	0.012838535	0.013096842
92	3	0.037762668	0.041851232
92	4	0.147588616	0.157348102
93	1	0.001761616	0.001865305
93	2	0.012014271	0.013592963
93	3	0.039310703	0.042106173
93	4	0.142069221	0.152972653
94	1	0.001773172	0.0019294
